Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2018 12:03:00,29/05/2019 13:47:00,74.000
WQ_OGM_DOC,03/01/2018 12:03:00,29/05/2019 13:47:00,74.000
WQ_OXY_OXY,03/01/2018 12:03:00,29/05/2019 13:47:00,74.000
WQ_NIT_NIT,10/01/2018 11:56:00,22/05/2019 13:27:00,37.000
WQ_PHS_FRP,10/01/2018 11:56:00,22/05/2019 13:27:00,37.000
WQ_DIAG_TOT_TP,10/01/2018 11:56:00,22/05/2019 13:27:00,37.000
WQ_DIAG_TOT_TKN,10/01/2018 11:56:00,22/05/2019 13:27:00,37.000
TEMP,03/01/2018 12:03:00,29/05/2019 13:47:00,74.000
WQ_DIAG_TOT_TDS,03/01/2018 12:03:00,29/05/2019 13:47:00,74.000
WQ_DIAG_TOT_TURBIDITY,03/01/2018 12:03:00,29/05/2019 13:47:00,74.000
WQ_CAR_PH,03/01/2018 12:03:00,29/05/2019 13:47:00,74.000
