Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2018 10:13:00,30/05/2019 11:22:00,74.000
WQ_OGM_DOC,04/01/2018 10:13:00,30/05/2019 11:22:00,74.000
WQ_OXY_OXY,04/01/2018 10:13:00,30/05/2019 11:22:00,74.000
WQ_NIT_NIT,04/01/2018 10:13:00,23/05/2019 10:01:00,56.000
WQ_PHS_FRP,04/01/2018 10:13:00,23/05/2019 10:01:00,56.000
WQ_DIAG_TOT_TP,04/01/2018 10:13:00,23/05/2019 10:01:00,56.000
WQ_SIL_RSI,18/01/2018 09:09:00,09/05/2019 11:15:00,18.000
WQ_DIAG_TOT_TKN,04/01/2018 10:13:00,23/05/2019 10:01:00,56.000
TEMP,04/01/2018 10:13:00,30/05/2019 11:22:00,74.000
WQ_DIAG_TOT_TDS,04/01/2018 10:13:00,30/05/2019 11:22:00,74.000
WQ_DIAG_TOT_TURBIDITY,04/01/2018 10:13:00,30/05/2019 11:22:00,74.000
WQ_CAR_PH,04/01/2018 10:13:00,30/05/2019 11:22:00,74.000
