Date,Total
01-Jan-2016,
01-Feb-2016,
01-Mar-2016,
01-Apr-2016,
01-May-2016,
01-Jun-2016,
01-Jul-2016,
01-Aug-2016,
01-Sep-2016,
01-Oct-2016,
01-Nov-2016,213852.2874
01-Dec-2016,2181325.0931
01-Jan-2017,686982.9741
01-Feb-2017,151536.1337
01-Mar-2017,209933.9062
01-Apr-2017,71166.0799
01-May-2017,140282.9144
01-Jun-2017,116257.7308
01-Jul-2017,240856.3420
01-Aug-2017,243175.2043
01-Sep-2017,113754.9296
01-Oct-2017,91948.5541
01-Nov-2017,91043.6509
01-Dec-2017,301158.8391
01-Jan-2018,70051.5094
01-Feb-2018,40152.4181
01-Mar-2018,30821.4304
01-Apr-2018,13723.6260
01-May-2018, 9531.2076
01-Jun-2018,15518.1423
01-Jul-2018,40573.9628
01-Aug-2018,137024.2053
01-Sep-2018,41535.8825
01-Oct-2018,47941.2687
01-Nov-2018,37837.8788
01-Dec-2018,19791.7506
01-Jan-2019,38259.6066
01-Feb-2019, 8692.8566
01-Mar-2019,23580.8356
01-Apr-2019,48645.5945
01-May-2019,16190.8065
01-Jun-2019,51431.2229
01-Jul-2019,56481.4447
01-Aug-2019,139300.0870
01-Sep-2019,76673.8377
01-Oct-2019, 9400.8961
01-Nov-2019,
01-Dec-2019,
