Old Name,New Name
Algae - Total,Algal_Total
Algal Biovolume,Algal_BioVolume
Blue Green Algae - Total,BGA
Cells/ ml,Ignore
Geosmin-MIB producing BGA - Total,Geosmin
Text Result,Ignore
