Variable Name,Min Date,Max Date,Number of Samples
Conductivity,19/04/2013 00:00:00,03/01/2020 00:00:00,2451.000
TEMP,19/04/2013 00:00:00,03/01/2020 00:00:00,2451.000
Level,19/04/2013 00:00:00,03/01/2020 00:00:00,2451.000
SAL,19/04/2013 00:00:00,03/01/2020 00:00:00,2451.000
H,19/04/2013 00:00:00,03/01/2020 00:00:00,2451.000
Flow_m3,19/04/2013 00:00:00,03/01/2020 00:00:00,2451.000
