Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2019 05:59:00,28/05/2020 08:24:00,73.000
WQ_OGM_DOC,10/01/2019 05:59:00,21/05/2020 08:30:00,34.000
WQ_OXY_OXY,03/01/2019 05:59:00,28/05/2020 08:24:00,73.000
TEMP,03/01/2019 05:59:00,28/05/2020 08:24:00,73.000
WQ_DIAG_TOT_TDS,03/01/2019 05:59:00,28/05/2020 08:24:00,73.000
WQ_DIAG_TOT_TURBIDITY,10/01/2019 05:59:00,21/05/2020 08:30:00,34.000
WQ_CAR_PH,03/01/2019 05:59:00,28/05/2020 08:24:00,73.000
