Variable Name,Min Date,Max Date,Number of Samples
Conductivity,22/08/2002 00:00:00,25/10/2020 00:00:00,6640.000
TEMP,22/08/2002 00:00:00,25/10/2020 00:00:00,6640.000
SAL,22/08/2002 00:00:00,25/10/2020 00:00:00,6640.000
