"SAMPLE_POINT","SAMPLE_DATE","TEST","TEST_METHOD","RESULT","OPERATOR","RESULT_UNITS","STATUS"
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"Electrical Conductivity","Electrical Conductivity (Field)","50886","=","uS/cm",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"Electrical Conductivity (25C)","electrometric (YSI 556 field probe)","57020","=","uS/cm",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"Electrical Conductivity (25C)","electrometric ( in lab)","52200","=","uS/cm",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"TKN (as N)","Acid digest colorimetric (marine)",".33","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"Turbidity","Field nephelometer probe (UofA)",".74","=","NTU",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"aluminium (soluble)","Filtration (0.45 um): ICP2 (seawater)",".04","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"aluminium (total)","Acid digest: ICP2 (seawater)",".064","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"ammonia (as N)","Auto phenate method",".03","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"cadmium (total)","Acid digest: ICP-MS (seawater)",".005","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"chlorophyll a","Trichromatic: ethanol extraction","1.91","=","ug/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"chlorophyll b","Trichromatic: ethanol extraction",".58","=","ug/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"copper (total)","Acid digest: ICP-MS (seawater)",".011","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"iron (soluble)","Filtration (0.45 um): ICP2 (seawater)",".02","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"iron (total)","Acid digest: ICP2",".044","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction",".005","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"pH","Electometric method","8.3","=","pH Units",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"pH","Electrometric: YSI556 (EPA field test)","8.49","=","pH Units",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"phosphorus (soluble as P)","MF(0.45 um): colorimetry",".006","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"phosphorus (total as P)","Ascorbic acid: (seawater) flow colorimetry",".034","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"salinity","specific conductivity (YSI field measurement)","38.02","=","ppt",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"silver (total)","Acid digest: AAS (seawater)",".002","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"temperature","field test","19.36","=","Degrees C",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"total dissolved solids (by EC)","Calculation - 0.65xEC(25C)","37060","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"total dissolved solids (by EC)","Calculated from EC (AWQC algorithm)","34000","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"zinc (soluble)","Filtration (0.45 um): ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",27/02/2008 11:30:00,"zinc (total)","Acid digest: ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"Electrical Conductivity (25C)","electrometric ( in lab)","55400","=","uS/cm",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"TKN (as N)","Acid digest colorimetric (marine)",".25","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"Turbidity","Field nephelometer probe (UofA)","3.9","=","NTU",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"aluminium (soluble)","Filtration (0.45 um): ICP2 (seawater)",".04","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"aluminium (total)","Acid digest: ICP2 (seawater)",".095","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"ammonia (as N)","Auto phenate method",".013","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"cadmium (total)","Acid digest: ICP-MS (seawater)",".005","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"chlorophyll a","Trichromatic: ethanol extraction","2.66","=","ug/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"chlorophyll b","Trichromatic: ethanol extraction",".44","=","ug/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"copper (total)","Acid digest: ICP-MS (seawater)",".01","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"iron (soluble)","Filtration (0.45 um): ICP2 (seawater)",".02","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"iron (total)","Acid digest: ICP2",".118","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction",".005","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"pH","Electometric method","8.3","=","pH Units",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"phosphorus (soluble as P)","MF(0.45 um): colorimetry",".009","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"phosphorus (total as P)","Ascorbic acid: (seawater) flow colorimetry",".041","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"silver (total)","Acid digest: AAS (seawater)",".002","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"total dissolved solids (by EC)","Calculated from EC (AWQC algorithm)","37000","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"zinc (soluble)","Filtration (0.45 um): ICP-MS (seawater)",".03","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",29/05/2008 18:22:00,"zinc (total)","Acid digest: ICP-MS (seawater)",".033","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"Electrical Conductivity (25C)","electrometric ( in lab)","83700","=","uS/cm",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"TKN (as N)","Kjeldahl digest/ automated colorimetric method","1.1","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"Turbidity","Field nephelometer probe (UofA)","2.1","=","NTU",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"aluminium (soluble)","Filtration (0.45 um): ICP2 (seawater)",".04","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"aluminium (total)","Acid digest: ICP2 (seawater)",".052","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"ammonia (as N)","Auto phenate method",".005","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"cadmium (total)","Acid digest: ICP-MS (seawater)",".005","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"chlorophyll a","Trichromatic: ethanol extraction","2.53","=","ug/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"chlorophyll b","Trichromatic: ethanol extraction",".35","=","ug/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"copper (total)","Acid digest: ICP-MS (seawater)",".047","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"iron (soluble)","Filtration (0.45 um): ICP2 (seawater)",".02","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"iron (total)","Acid digest: ICP2",".041","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction",".011","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"pH","Electometric method","8","=","pH Units",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"phosphorus (soluble as P)","MF(0.45 um): colorimetry",".009","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"phosphorus (total as P)","Ascorbic acid: automated flow colorimetry (water)",".078","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"silver (total)","Acid digest: AAS (seawater)",".002","<","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"total dissolved solids (by EC)","Calculated from EC (AWQC algorithm)","60000","=","mg/L",""
"Coorong - Ewe Island Barrage (Adj to NW end)",25/08/2008 00:00:00,"zinc (soluble)","Filtration (0.45 um): ICP-MS (seawater)",".03","<","mg/L",""
