"Time","A5041023","A5041023","A5041023"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
23/07/2009 00:00,"","",""
24/07/2009 00:00,      38.707,      27.290,      22.896
25/07/2009 00:00,      24.883,      22.097,      19.440
26/07/2009 00:00,      25.315,      21.488,      19.267
27/07/2009 00:00,    1028.160,     193.436,      20.563
28/07/2009 00:00,     189.821,     114.091,      66.355
29/07/2009 00:00,     498.269,     239.533,     119.405
30/07/2009 00:00,     362.448,     244.851,     211.680
31/07/2009 00:00,     363.485,     266.317,     219.542
01/08/2009 00:00,     226.800,     180.973,     134.006
02/08/2009 00:00,     134.698,     107.905,      85.882
03/08/2009 00:00,     136.858,     121.184,      84.326
04/08/2009 00:00,     121.219,     112.275,     105.062
05/08/2009 00:00,     116.122,     102.616,      94.003
06/08/2009 00:00,      99.792,      66.188,      45.878
07/08/2009 00:00,     203.558,      79.074,      45.274
08/08/2009 00:00,      46.224,      37.290,      32.227
09/08/2009 00:00,      38.880,      32.769,      29.808
10/08/2009 00:00,      32.054,      30.285,      28.253
11/08/2009 00:00,      40.003,      30.666,      27.302
12/08/2009 00:00,      33.696,      27.761,      24.365
13/08/2009 00:00,      26.006,      23.249,      20.995
14/08/2009 00:00,      23.069,      21.758,      20.131
15/08/2009 00:00,      21.946,      20.207,      18.662
16/08/2009 00:00,     181.008,      60.943,      18.403
17/08/2009 00:00,      56.678,      29.122,      20.909
18/08/2009 00:00,      23.328,      20.069,      17.453
19/08/2009 00:00,      21.082,      17.205,      14.515
20/08/2009 00:00,      16.243,      14.630,      12.614
21/08/2009 00:00,      50.026,      22.849,      12.960
22/08/2009 00:00,      22.205,      16.235,      12.269
23/08/2009 00:00,      14.861,      12.644,      10.973
24/08/2009 00:00,    1236.211,     260.608,      12.096
25/08/2009 00:00,     365.904,     205.185,     104.198
26/08/2009 00:00,     196.128,     140.909,      99.792
27/08/2009 00:00,     123.984,      82.981,      57.110
28/08/2009 00:00,     284.083,      80.243,      43.546
29/08/2009 00:00,    1715.904,     332.927,      91.584
30/08/2009 00:00,     399.254,     266.711,     164.246
31/08/2009 00:00,     269.309,     188.863,     132.624
01/09/2009 00:00,     367.632,     182.819,     124.416
02/09/2009 00:00,     184.464,     164.826,     122.256
03/09/2009 00:00,     154.310,     132.314,     112.925
04/09/2009 00:00,     658.109,     234.210,     112.406
05/09/2009 00:00,     125.107,     107.996,      89.424
06/09/2009 00:00,      90.029,      80.696,      71.194
07/09/2009 00:00,     256.781,     127.942,      70.848
08/09/2009 00:00,     115.171,     104.727,      90.720
09/09/2009 00:00,      91.670,      83.762,      77.242
