"Time","A5031001","A5031001","A5031001"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
22/06/2002 00:00,"","",""
23/06/2002 00:00,      16.762,      14.053,      11.318
24/06/2002 00:00,      17.194,      13.652,      11.923
25/06/2002 00:00,      14.515,      12.095,       9.158
26/06/2002 00:00,      13.565,      10.781,       9.072
27/06/2002 00:00,      37.325,      19.014,       8.899
28/06/2002 00:00,      72.662,      54.499,      32.400
29/06/2002 00:00,      52.877,      34.930,      26.611
30/06/2002 00:00,      28.253,      23.736,      18.576
01/07/2002 00:00,      21.168,      18.494,      14.515
02/07/2002 00:00,      23.846,      15.623,      13.133
03/07/2002 00:00,     190.253,      87.682,      18.576
04/07/2002 00:00,     171.418,     133.052,     103.594
05/07/2002 00:00,    1265.501,     492.018,      92.362
06/07/2002 00:00,     532.570,     235.488,     127.613
07/07/2002 00:00,     141.955,     105.914,      77.933
08/07/2002 00:00,      89.338,      69.218,      54.086
09/07/2002 00:00,      96.768,      71.910,      52.099
10/07/2002 00:00,      65.059,      56.487,      44.410
11/07/2002 00:00,      54.605,      45.141,      39.744
12/07/2002 00:00,      47.779,      40.347,      36.979
13/07/2002 00:00,      79.142,      54.625,      36.115
14/07/2002 00:00,      85.882,      68.921,      58.320
15/07/2002 00:00,      60.307,      50.744,      44.582
16/07/2002 00:00,      46.310,      43.246,      40.608
17/07/2002 00:00,      57.629,      50.710,      41.213
18/07/2002 00:00,      56.074,      48.788,      43.114
19/07/2002 00:00,      45.187,      41.103,      37.325
20/07/2002 00:00,      44.064,      38.869,      33.610
21/07/2002 00:00,      42.336,      35.151,      31.450
22/07/2002 00:00,      37.498,      32.420,      30.067
23/07/2002 00:00,      32.054,      29.742,      28.426
24/07/2002 00:00,      29.808,      28.374,      26.698
25/07/2002 00:00,      29.030,      27.378,      25.747
26/07/2002 00:00,      30.326,      28.686,      27.302
27/07/2002 00:00,      30.326,      28.738,      26.611
28/07/2002 00:00,      67.133,      45.756,      28.944
29/07/2002 00:00,     102.298,      75.134,      56.678
30/07/2002 00:00,      58.147,      47.248,      41.386
31/07/2002 00:00,      42.250,      37.474,      34.906
01/08/2002 00:00,      36.029,      33.085,      30.758
02/08/2002 00:00,      39.787,      31.284,      28.944
03/08/2002 00:00,      74.736,      57.670,      39.571
04/08/2002 00:00,      70.675,      54.041,      45.792
05/08/2002 00:00,      46.138,      40.774,      37.325
06/08/2002 00:00,      61.085,      49.853,      40.262
07/08/2002 00:00,      79.402,      68.237,      59.098
08/08/2002 00:00,      68.602,      57.093,      50.803
09/08/2002 00:00,      52.186,      46.243,      42.509
