Variable,Site
H,A4261159
SAL,A4261159
TEMP,A4261159
TRACE_1,No Site
WQ_TRC_AGE,No Site
WQ_NCS_SS1,EPA2014_CLLMM_Transect_Lower_Lakes
WQ_OXY_OXY,EPA2014_Lake_Alexandrina_Opening
WQ_SIL_RSI,EPA2014_LMRIA_Plume_Jervois_Wellington
WQ_NIT_AMM,EPA2014_LMRIA_Plume_Jervois_Wellington
WQ_NIT_NIT,EPA2014_LMRIA_Plume_Jervois_Wellington
WQ_PHS_FRP,EPA2014_LMRIA_Plume_Jervois_Wellington
WQ_PHS_FRP_ADS,EPA_Wellington
WQ_OGM_DOC,EPA2014_LMRIA_Plume_Jervois_Wellington
WQ_OGM_POC,EPA_Wellington
WQ_OGM_DON,EPA2014_Lake_Alexandrina_Opening
WQ_OGM_PON,EPA2014_Lake_Alexandrina_Opening
WQ_OGM_DOP,EPA_Wellington
WQ_OGM_POP,EPA_Wellington
WQ_PHY_GRN,EPA_Wellington
