Variable Name,Min Date,Max Date,Number of Samples
WQ_DIAG_PHY_TCHLA,03/01/2019 06:56:00,27/05/2020 04:59:00,72.000
SAL,03/01/2019 06:56:00,27/05/2020 04:59:00,90.000
WQ_OGM_DOC,03/01/2019 06:56:00,27/05/2020 04:59:00,72.000
WQ_OXY_OXY,03/01/2019 06:55:00,27/05/2020 04:59:00,74.000
WQ_PHS_FRP,03/01/2019 06:56:00,27/05/2020 04:59:00,72.000
WQ_DIAG_TOT_TP,03/01/2019 06:56:00,27/05/2020 04:59:00,72.000
WQ_SIL_RSI,03/01/2019 06:56:00,27/05/2020 04:59:00,72.000
WQ_TRC_SS1,13/05/2020 09:41:00,27/05/2020 04:59:00,3.000
WQ_DIAG_TOT_TKN,03/01/2019 06:56:00,27/05/2020 04:59:00,72.000
TEMP,03/01/2019 06:56:00,27/05/2020 04:59:00,84.000
WQ_DIAG_TOT_TDS,03/01/2019 06:56:00,27/05/2020 04:59:00,90.000
WQ_DIAG_TOT_TURBIDITY,03/01/2019 06:56:00,27/05/2020 04:59:00,72.000
WQ_CAR_PH,03/01/2019 06:56:00,27/05/2020 04:59:00,90.000
