Variable,Site
FLOW,OFFTAKE_SRS
SAL,SAW_Swan_Reach_Town
TEMP,SAW_Swan_Reach_Town
TRACE_1,No Site
WQ_TRC_AGE,No Site
WQ_NCS_SS1,SAW_Swan_Reach_Town
WQ_OXY_OXY,SAW_Swan_Reach_Town
WQ_SIL_RSI,SAW_Swan_Reach_SP
WQ_NIT_AMM,EPA2014_LMRIA_Plume_Mobilong
WQ_NIT_NIT,SAW_Swan_Reach_SP
WQ_PHS_FRP,SAW_Swan_Reach_SP
WQ_PHS_FRP_ADS,SAW_Swan_Reach_SP
WQ_OGM_DOC,SAW_Swan_Reach_Town
WQ_OGM_POC,SAW_Swan_Reach_Town
WQ_OGM_DON,SAW_Swan_Reach_SP
WQ_OGM_PON,SAW_Swan_Reach_SP
WQ_OGM_DOP,SAW_Swan_Reach_SP
WQ_OGM_POP,SAW_Swan_Reach_SP
WQ_PHY_GRN,SAW_Morgan
