1.8km West Salt Creek
12 South Salt Creek
3.2km South Salt Creek
Coorong Monument Road
Coorong Sub Lagoon 1 Tauwitchere Barrage
Coorong Sub Lagoon 10 North Jack Point
Coorong Sub Lagoon 10 North Jacks Point
Coorong Sub Lagoon 12 South Salt Creek
Coorong Sub Lagoon 2 Mark Point
Coorong Sub Lagoon 3 Long Point
Coorong Sub Lagoon 5 Bonneys
Coorong Sub Lagoon 6 McGrath Flat North
Coorong Sub Lagoon 7 Parnka Point
Coorong Sub Lagoon 9 Stoney Well
Ewe Island Barrage
Morella Basin at Outlet Regulator
Mundoo
Murray Mouth
Salt Creek @ Flow Gauge - Composite
Salt Creek @ Flow Gauge - Creek
Seagull Island
Snipe Point
Villa de Yumpa
Woods Well
