Goolwa,300692.000000,6067199.000000
Jockwar,351368.000000,6083419.000000
Tauwitcherie,320218.000000,6059692.000000
Boggy,311612.000000,6066862.000000
Bonneys,347969.000000,6037304.000000
Monument,302097.000000,6066373.000000
Currency,301809.000000,6071434.000000
Ewe,315213.000000,6062103.000000
Finniss,308113.000000,6073436.000000
Meningie,348605.000000,6052257.000000
Albert_Opening,344300.000000,6062650.000000
Alex_Middle,333090.000000,6077933.000000
Milang,321246.000000,6076714.000000
Poltalloch,338099.000000,6074142.000000
Wellington,353269.000000,6089030.000000
Mcleay,323335.000000,6067400.000000
Long,333756.000000,6048257.000000
Loveday,325777.000000,6062037.000000
Mark,325762.000000,6054914.000000
Mundoo,312516.000000,6065450.000000
Mouth,308015.000000,6063155.000000
Narrung,336596.000000,6067746.000000
North_Jack,369342.000000,6010970.000000
Salt,377597.000000,6000430.000000
Yumpa,359175.000000,6022894.000000
Albert_Middle,333090.000000,6077933.000000
