Site,X,Y
CLLMM_Transect_Coorong,370265.5031,6007366.866
CLLMM_Transect_Lower_Lakes,352555.3168,6090350.466
CLLMM_Transects_Morella,377472.3518,6000546.136
Campbell_Park_Bore_CP_1D,0,0
Campbell_Park_Bore_CP_1S,0,0
Campbell_Park_Bore_CP_2D,0,0
Campbell_Park_Bore_CP_2S,0,0
Campbell_Park_Bore_CP_3D,0,0
Campbell_Park_Bore_CP_3S,0,0
Campbell_Park_Bore_CP_4D,0,0
Campbell_Park_Bore_CP_4M,0,0
Campbell_Park_Bore_CP_4S,0,0
Clayton_1,6068892,312259
Clayton_2,0,0
Clayton_3A,6069731,311417
Clayton_3B,6069844,311152
Clayton_3C,6069857,310934
Coorong_1_8km_West_Salt_Creek,377597,6000430
Coorong_12_South_Salt_Creek,377597,6000430
Coorong_3_2km_South_Salt_Creek,377597,6000430
Coorong_Bonneys,347969,6037304
Coorong_Boundary_Creek_1,6062368,311596
Coorong_Boundary_Creek_2,6062368,311596
Coorong_Boundary_Creek_3,6062368,311596
Coorong_Boundary_Creek_Tributary_1,6062368,311596
Coorong_Boundary_Creek_Tributary_2,6062368,311596
Coorong_Boundary_Creek_Tributary_3,6062368,311596
Coorong_Boundary_Creek_Tributary_4,6062368,311596
Coorong_Boundary_Creek_Tributary_5,6062368,311596
Coorong_Ewe_Island_Barrage,6062880,314880
Coorong_Ewe_Island_Barrage_Adj_to_NW_end,6062546,314659
Coorong_Ewe_Island_Barrage_2,6062880,314880
Coorong_Ewe_Island_Barrage_3,6062880,314880
Coorong_Ewe_Island_Barrage_4,6062880,314880
Coorong_Goolwa_Channel_Monument_Rd,0,0
Coorong_Jockwar_Road,0,0
Coorong_Long_Point,0,0
Coorong_Mark_Point,0,0
Coorong_Monument_Road,0,0
Coorong_Mundoo_Channel,0,0
Coorong_Mundoo_Island_Creek_1,0,0
Coorong_Mundoo_Island_Creek_2,0,0
Coorong_Mundoo_Island_Creek_3,0,0
Coorong_Murray_Mouth,0,0
Coorong_Salt_Ck_outlet_Salt_Creek,0,0
Coorong_Salt_Creek_footbridge,0,0
Coorong_Seagull_Island,0,0
Coorong_Snipe_Island,0,0
Coorong_Tauwitchere_Barrage,0,0
Coorong_Tauwitchere_Barrage_2,0,0
Coorong_Tauwitchere_Barrage_3,0,0
Coorong_Tauwitchere_Barrage_4,0,0
Coorong_Tauwitchere_Barrage_5,0,0
Coorong_Villa_de_Yumpa,0,0
Coorong_Woods_Well,0,0
Coorong_sub_lagoon_1_Tauwitchere,0,0
Coorong_sub_lagoon_10_Jack_Point,0,0
Coorong_sub_lagoon_12_Sth_of_Salt_Creek,0,0
Coorong_sub_lagoon_2_Mark_Point,0,0
Coorong_sub_lagoon_3_Long_Point,0,0
Coorong_sub_lagoon_4_Noonameena,0,0
Coorong_sub_lagoon_5_Bonneys,0,0
Coorong_sub_lagoon_6_McGrath_Flat_North,0,0
Coorong_sub_lagoon_7_Parnka_Point,0,0
Coorong_sub_lagoon_9_Stoney_Well,0,0
Currency_Ck_CC_292,0,0
Currency_Ck_CC_DS5,0,0
Currency_Ck_CC_DS6,0,0
Currency_Ck_DS1,0,0
Currency_Ck_DS2,0,0
Currency_Ck_DS4TP_surface_water,0,0
Currency_Ck_Bore_LCC_P2,0,0
Currency_Ck_CCGC,0,0
Currency_Creek_Bore_UCC_P1,0,0
Currency_Creek_Bore_UCC_P3,0,0
Currency_Creek_CCUS1,0,0
Currency_Creek_Channel,0,0
Currency_Creek_Currency_1,0,0
Currency_Creek_Currency_2,0,0
Currency_Creek_Currency_3,0,0
Currency_Creek_Goolwa_Channel,0,0
Currency_Creek_Hole,0,0
Currency_Creek_Middle_Transect,0,0
Currency_Creek_Opening,0,0
Currency_Creek_Regulator,0,0
Currency_Creek_Regulator_East,0,0
Currency_Creek_Regulator_West,0,0
Currency_Creek_River_Top,0,0
Currency_Creek_US_of_Narrows,0,0
Currency_Creek_Water_Sensor,0,0
Dunns_Lagoon_DL_1,0,0
Dunns_Lagoon_DL_10,0,0
Dunns_Lagoon_DL_11,0,0
Dunns_Lagoon_DL_12,0,0
Dunns_Lagoon_DL_13,0,0
Dunns_Lagoon_DL_14,0,0
Dunns_Lagoon_DL_15,0,0
Dunns_Lagoon_DL_2,0,0
Dunns_Lagoon_DL_3,0,0
Dunns_Lagoon_DL_4,0,0
Dunns_Lagoon_DL_5,0,0
Dunns_Lagoon_DL_6,0,0
Dunns_Lagoon_DL_7,0,0
Dunns_Lagoon_DL_8,0,0
Dunns_Lagoon_DL_9,0,0
Dunns_Lagoon_DL_Jetty,0,0
Dunns_Lagoon_DL1_Kayak,0,0
Dunns_Lagoon_DL10_Kayak,0,0
Dunns_Lagoon_DL2_Kayak,0,0
Dunns_Lagoon_DL3_Kayak,0,0
Dunns_Lagoon_DL4_Kayak,0,0
Dunns_Lagoon_DL5_Kayak,0,0
Dunns_Lagoon_DL6_Kayak,0,0
Dunns_Lagoon_DL7_Kayak,0,0
Dunns_Lagoon_DL8_Kayak,0,0
Dunns_Lagoon_DL9_Kayak,0,0
Dunns_Lagoon_DLT1,0,0
Dunns_Lagoon_DLT10,0,0
Dunns_Lagoon_DLT3,0,0
Dunns_Lagoon_DLT4,0,0
Dunns_Lagoon_DLT6,0,0
Dunns_Lagoon_DLT7,0,0
Dunns_Lagoon_DLT8,0,0
Dunns_Lagoon_DLT9,0,0
Finniss_River_FR_DS1,0,0
Finniss_River_DS_of_WL,0,0
Finniss_River_FRGC,0,0
Finniss_River_Finniss_1,0,0
Finniss_River_Finniss_2,0,0
Finniss_River_Finniss_3,0,0
Finniss_River_US1,0,0
Finniss_River_Upper_Finniss,0,0
Finniss_River_Wallys_Landing_FR_WL,0,0
GCCB,0,0
Goolwa_Barrage_Transect,0,0
Goolwa_Bridge,0,0
Goolwa_Channel_Shacks,0,0
Hindmarsh_Island_Boggy_Creek_1,0,0
Hindmarsh_Island_Boggy_Creek_2,0,0
Hindmarsh_Island_Boggy_Creek_3,0,0
Hindmarsh_Island_Boggy_Creek_4,0,0
Hindmarsh_Island_Boggy_Creek_5,0,0
Hindmarsh_Island_Boggy_Creek_6,0,0
Hindmarsh_Island_Boggy_Creek_7,0,0
Hindmarsh_Island_Estick_Creek_1,0,0
Hindmarsh_Island_Estick_Creek_2,0,0
Hindmarsh_Island_Estick_Creek_3,0,0
Hindmarsh_Island_Estick_Creek_4,0,0
Hindmarsh_Island_Estick_Creek_5,0,0
Hindmarsh_Island_Hunters_Creek_1,0,0
Hindmarsh_Island_Hunters_Creek_2,0,0
Hindmarsh_Island_Hunters_Creek_3,0,0
Hindmarsh_Island_Hunters_Creek_4,0,0
Hindmarsh_Island_Hunters_Creek_5,0,0
Hindmarsh_Island_Hunters_Creek_6,0,0
Hindmarsh_Island_Mundoo_Channel_1,0,0
Hindmarsh_Island_Mundoo_Channel_2,0,0
Hindmarsh_Island_Mundoo_Channel_3,0,0
LMRIA_Baseby,0,0
LMRIA_Bridge_Swamp,0,0
LMRIA_Burdett,0,0
LMRIA_Cowirra,0,0
LMRIA_Cowrirra_South,0,0
LMRIA_Glen_Lossie,0,0
LMRIA_Glen_Lossie_South,0,0
LMRIA_Jervois_Bartlett_South_Drain_01,0,0
LMRIA_Jervois_Bartlett_South_Drain_02,0,0
LMRIA_Jervois_Bartlett_South_Drain_03,0,0
LMRIA_Jervois_Nth,0,0
LMRIA_Jervois_Sth,0,0
LMRIA_Jervois_Sth_Middle,0,0
LMRIA_Jervois_Sth_T_Junction,0,0
LMRIA_Jervois_Swamp_1,0,0
LMRIA_Jervois_Swamp_2,0,0
LMRIA_Kilsby,0,0
LMRIA_Long_Flat,0,0
LMRIA_Long_Flat_Top_End,0,0
LMRIA_Long_Flat_paddock_2,0,0
LMRIA_Long_Flat_reuse_drain,0,0
LMRIA_Long_Flat_side_drain_north,0,0
LMRIA_Long_Flat_side_drain,0,0
LMRIA_Long_Flat_1C,0,0
LMRIA_Long_Flat_2B,0,0
LMRIA_Long_Flat_3A,0,0
LMRIA_Long_Flat_3B,0,0
LMRIA_Long_Flat_3C,0,0
LMRIA_Long_Flat_4B,0,0
LMRIA_Long_Flat_5A,0,0
LMRIA_Long_Flat_5B,0,0
LMRIA_Long_Flat_5C,0,0
LMRIA_Long_Flat_5D,0,0
LMRIA_Long_Flat_6B,0,0
LMRIA_Long_Flat_7A,0,0
LMRIA_Long_Flat_7B,0,0
LMRIA_Long_Flat_7C,0,0
LMRIA_Long_Island,0,0
LMRIA_Long_Island_Granites,0,0
LMRIA_McFarlane,0,0
LMRIA_Mobilong,0,0
LMRIA_Monteith,0,0
LMRIA_Monteith_RS,0,0
LMRIA_Mueller_Salt_Drain_01,0,0
LMRIA_Mueller_Salt_Drain_02,0,0
LMRIA_Mueller_Salt_Drain_03,0,0
LMRIA_Mypolonga,0,0
