Y,X,SiteName
6073569,298728,CC-Opening
6072223,302553,CC-Regulator
6073808,299424,CC-US of Narrows
6074149,296153,CCUS1
6068892,312259,Clayton 1
6069731,311417,Clayton 3A
6069844,311152,Clayton 3B
6069857,310934,Clayton 3C
6062368,311596,Coorong - Boundary Creek 1
6061753,316016,Coorong - Coorong Channel 1
6058785,321185,Coorong - Coorong Channel 2
6062546,314659,Coorong - Ewe Island 1
6062880,314880,Coorong - Ewe Island barrage
6059517,320048,Coorong - Tauwitchere 1
6060052,319466,Coorong - Tauwitchere 2
6069589,302418,Currency Ck - CC@GC
6073729,299331,Currency Ck  CC-292
6070631,302991,Currency Ck  CC-DS5
6070149,302789,Currency Ck  CC-DS6
6072704,299555,Currency Ck  DS1
6072604,300626,Currency Ck  DS2
6071732,302192,Currency Ck  DS4@TP surface water.
6069240,312400,Dunns Lagoon - DL Jetty
6069672,312378,Dunns Lagoon - DL1 Kayak
6069763,313633,Dunns Lagoon - DL10 Kayak
6069962,312643,Dunns Lagoon - DL2 Kayak
6070129,312679,Dunns Lagoon - DL3 Kayak
6070322,312696,Dunns Lagoon - DL4 Kayak
6070307,313298,Dunns Lagoon - DL5 Kayak
6070124,313303,Dunns Lagoon - DL6 Kayak
6069875,313306,Dunns Lagoon - DL7 Kayak
6069684,313297,Dunns Lagoon - DL8 Kayak
6069669,313450,Dunns Lagoon - DL9 Kayak
6070356,313310,Dunns Lagoon - DLT10
6070172,312474,Dunns Lagoon - DLT3
6070311,313321,Dunns Lagoon - DLT7
6077930,304044,Finniss River  FR-DS1
6079582,303113,Finniss River: Wally's Landing (FR-WL)
6071593,308604,FR@GC
6079269,303479,FR-DS of WL
6080680,302460,FRUS1
6066040,311149,Hindmarsh Island - Boggy Creek 1
6066040,311431,Hindmarsh Island - Boggy Creek 2
6065794,311056,Hindmarsh Island - Boggy Creek 3
6065312,311562,Hindmarsh Island - Boggy Creek 4
6066722,311341,Hindmarsh Island - Boggy Creek 5
6066862,311612,Hindmarsh Island - Boggy Creek 6
6066572,311305,Hindmarsh Island - Boggy Creek 7
6065664,311683,Hindmarsh Island - Estick Creek 2
6065584,311639,Hindmarsh Island - Estick Creek 3
6065584,311639,Hindmarsh Island - Estick Creek 4
6065433,311805,Hindmarsh Island - Estick Creek 5
6066444,308875,Hindmarsh Island - Hunters Creek 1
6066358,308613,Hindmarsh Island - Hunters Creek 2
6065999,308561,Hindmarsh Island - Hunters Creek 3
6065764,308062,Hindmarsh Island - Hunters Creek 4
6065530,308283,Hindmarsh Island - Hunters Creek 5
6065516,308304,Hindmarsh Island - Hunters Creek 6
6065312,311562,Hindmarsh Island - Mundoo Channel 1
6065450,312516,Hindmarsh Island - Mundoo Channel 2
6045987,342645,Lake Albert - Bascombe Bay 1
6045634,343356,Lake Albert - Bascombe Bay 2
6045437,343652,Lake Albert - Bascombe Bay 3
6046770,343509,Lake Albert - Bascombe Bay 4
6046873,342774,Lake Albert - Bascombe Bay 5
6045207,343911,Lake Albert - Bascombe Bay 6
6044966,342493,Lake Albert - Bascombe Bay 7
6044008,343149,Lake Albert - Bascombe Bay 8
6058338,343074,Lake Albert - Campbell Park
6054480,341340,Lake Albert - Campbell park (site 2)
6059211,352115,Lake Albert - Granite 2
6065904,339385,Lake Albert - Juron Swamp 1
6065896,339448,Lake Albert - Juron Swamp 2
6065813,339571,Lake Albert - Juron Swamp 3
6065696,339676,Lake Albert - Juron Swamp 4
6050440,349381,Lake Albert - Meningie
6067073,340402,Lake Albert - Narrows 1
6067681,337800,Lake Albert - Narrows 10
6067277,337712,Lake Albert - Narrows 11
6067250,337696,Lake Albert - Narrows 12
6067237,339426,Lake Albert - Narrows 13
6067443,339848,Lake Albert - Narrows 14
6067057,340507,Lake Albert - Narrows 15
6067057,340507,Lake Albert - Narrows 15
6066133,341339,Lake Albert - Narrows 16
6065867,342151,Lake Albert - Narrows 17
6065528,341872,Lake Albert - Narrows 18
6065253,34228,Lake Albert - Narrows 19
6065480,341273,Lake Albert - Narrows 2
6065411,341156,Lake Albert - Narrows 3
6065007,341414,Lake Albert - Narrows 4
6064672,341704,Lake Albert - Narrows 5
6068576,335711,Lake Albert - Narrows 6
6068349,335722,Lake Albert - Narrows 7
6067746,336596,Lake Albert - Narrows 8
6068173,337949,Lake Albert - Narrows 9
6068932,335568,Lake Albert - Narrung
6068443,334659,Lake Albert - Narrung Narrows Swamp 1
6068390,334710,Lake Albert - Narrung Narrows Swamp 2
6068388,334606,Lake Albert - Narrung Narrows Swamp 3
6068550,334602,Lake Albert - Narrung Swamp 1
6063658,344391,Lake Albert - Opening
6061262,340998,Lake Albert - Reedy Point 1
6061634,341267,Lake Albert - Reedy Point 2
6061915,341766,Lake Albert - Reedy Point 3
6062789,341568,Lake Albert - Reedy Point 4
6060739,340727,Lake Albert - Reedy Point 5
6061171,340949,Lake Albert - Reedy Point 6
6060723,341043,Lake Albert - Reedy Point 7
6060938,340832,Lake Albert - Reedy Point A
6060998,340889,Lake Albert - Reedy Point B
6061089,340923,Lake Albert - Reedy Point C
6061186,340956,Lake Albert - Reedy Point D
6061388,340755,Lake Albert - Reedy Point E
6061576,340903,Lake Albert - Reedy Point F
6061026,341199,Lake Albert - Reedy Point G
6061426,341358,Lake Albert - Reedy Point H
6060724,340726,Lake Albert - Reedy Point I
