x,y,id,z
314014.9316,6056340.9727,1,-24.1610
313887.1380,6056437.0033,2,-24.0000
313788.9697,6056396.4767,3,-24.0000
313655.8763,6056510.3703,4,-24.0000
313484.2688,6056613.4127,5,-24.3900
313310.0853,6056710.9610,6,-25.3567
313136.1195,6056809.1978,7,-25.9667
312962.1092,6056907.6062,8,-25.7872
312788.1323,6057006.0255,9,-25.7872
312614.1832,6057104.4071,10,-26.5731
312440.2545,6057202.7696,11,-26.9986
312266.3425,6057301.1102,12,-26.3937
312092.4734,6057399.4307,13,-24.5445
311918.6380,6057497.7174,14,-23.5763
311744.8285,6057595.9136,15,-24.3491
311571.3435,6057695.1375,16,-24.6452
311401.8048,6057784.6297,17,-25.2961
311231.5839,6057889.8666,18,-25.8927
311063.0066,6057980.1672,19,-25.8927
310884.2322,6058067.0303,20,-26.0000
310717.2605,6058160.5598,21,-26.1920
310541.1551,6058254.5462,22,-27.6571
310356.1446,6058355.4831,23,-28.4651
310168.2362,6058452.0736,24,-27.2551
309994.0518,6058536.8497,25,-26.4584
309821.2033,6058627.1639,26,-26.7033
309646.5634,6058718.7342,27,-27.0000
309476.4335,6058811.6054,28,-27.0000
309306.5019,6058912.5845,29,-27.0000
309126.3715,6059008.4895,30,-27.0000
308950.8330,6059101.4088,31,-27.2357
308820.2917,6059196.7067,32,-27.4857
308713.3240,6059183.3400,33,-27.9857
308592.2410,6059280.7637,34,-27.9422
308484.9607,6059378.8333,35,-27.8719
308373.2743,6059370.0567,36,-27.8016
308312.5480,6059469.4633,37,-27.1797
308198.9047,6059461.0667,38,-25.8687
308139.8663,6059558.8000,39,-25.1187
308023.6277,6059552.8733,40,-25.0489
307968.6503,6059651.2300,41,-25.1468
307827.3563,6059681.8952,42,-25.4792
307673.8367,6059722.5600,43,-26.0000
307623.0373,6059815.9433,44,-26.0000
307474.7326,6059870.8658,45,-25.2204
307304.4560,6059951.4569,46,-25.2204
307129.7162,6060035.7458,47,-26.2171
306952.9083,6060126.5979,48,-26.3007
306770.3675,6060223.7240,49,-26.5836
306590.2774,6060305.9360,50,-26.8365
306412.1689,6060398.6413,51,-26.3670
306242.2659,6060481.9133,52,-25.7806
306071.3672,6060565.4666,53,-24.8149
305898.3018,6060659.2789,54,-24.5649
305725.3882,6060752.3768,55,-25.0000
305545.5748,6060833.5564,56,-24.7229
305370.2214,6060921.2314,57,-24.3826
305191.0126,6061014.7764,58,-24.4752
305013.9493,6061105.8180,59,-24.8155
304837.3925,6061192.8846,60,-24.9500
304666.3519,6061282.9563,61,-24.9500
304500.4772,6061375.4995,62,-25.0000
304376.7407,6061469.2633,63,-25.0000
304264.0917,6061456.2033,64,-25.2500
304138.8174,6061550.7397,65,-25.1375
303964.2927,6061641.0749,66,-24.1952
303861.3853,6061736.2933,67,-23.6153
303715.8894,6061777.7821,68,-23.3076
303539.3221,6061868.4298,69,-23.0000
303363.1308,6061958.9287,70,-23.5000
303186.9737,6062049.5436,71,-24.0000
303010.6764,6062140.1815,72,-24.0000
302834.1313,6062230.7225,73,-23.9788
302657.0483,6062321.7620,74,-23.9788
302479.0325,6062414.0678,75,-24.0000
302294.7557,6062506.1785,76,-23.3053
302136.9677,6062546.5833,77,-23.3053
302086.0307,6062643.4100,78,-21.8606
301947.8016,6062678.2852,79,-22.0270
301772.8520,6062764.9549,80,-21.2770
301595.7028,6062856.0770,81,-21.3853
301419.4811,6062945.9531,82,-21.8853
301243.7226,6063035.8338,83,-22.0000
301070.4914,6063122.6102,84,-22.0000
300897.5445,6063226.6634,85,-22.0000
300733.7214,6063319.1351,86,-22.2206
314120.7470,6056525.4963,87,-24.0000
313982.6102,6056666.6312,88,-24.0000
313875.7570,6056573.5833,89,-24.0000
313747.3253,6056619.0067,90,-24.0000
313741.6916,6056771.2686,91,-24.0000
313549.1392,6056777.1488,92,-24.2300
313377.7824,6056868.4317,93,-25.2300
313204.0666,6056965.6757,94,-26.0000
313030.5546,6057063.7899,95,-26.0000
312857.1516,6057161.9057,96,-25.7162
312683.6834,6057259.9716,97,-24.2894
312510.2350,6057357.9400,98,-23.9987
312336.9026,6057455.8631,99,-24.4255
312163.6388,6057553.7248,100,-24.0000
311990.4856,6057651.5101,101,-24.0000
311817.3240,6057749.1436,102,-24.0000
311645.0226,6057848.4620,103,-24.5000
311471.0989,6057945.2386,104,-25.5000
311328.4287,6057999.0000,105,-26.0000
311273.7321,6058148.6708,106,-26.0000
311132.6637,6058100.4767,107,-26.0000
311017.8587,6058187.1369,108,-26.0000
310857.5790,6058281.0734,109,-25.8561
310688.5596,6058373.2085,110,-25.6061
310585.0230,6058469.4000,111,-25.0000
310453.0057,6058468.6167,112,-28.0000
310399.1630,6058566.8733,113,-27.0000
310248.5390,6058603.7749,114,-27.0000
310078.1483,6058686.8386,115,-27.0000
309906.5793,6058780.1938,116,-27.0000
309732.3163,6058877.5873,117,-27.0000
309562.8780,6058970.0374,118,-27.0000
309409.1970,6059018.0000,119,-27.0000
309360.0133,6059111.8733,120,-27.0000
309224.5964,6059150.1343,121,-27.0000
309053.1392,6059234.5658,122,-27.0000
308866.7057,6059321.3768,123,-27.4131
308702.1785,6059411.9574,124,-27.4834
308539.8421,6059502.6134,125,-26.7500
308374.8935,6059588.9280,126,-25.6797
308211.1300,6059672.4994,127,-25.0000
308056.1667,6059764.0859,128,-25.1676
307930.4317,6059857.0467,129,-25.4176
307831.3013,6059831.1867,130,-25.9176
307705.3901,6059922.2041,131,-26.0000
307533.2731,6060026.2386,132,-26.0000
307366.2510,6060110.1373,133,-26.0000
307200.6350,6060183.5110,134,-26.0388
307036.5366,6060268.6165,135,-26.4245
306931.9593,6060364.3367,136,-26.8857
306819.3567,6060358.6500,137,-27.0000
306756.8920,6060455.5767,138,-25.9039
306621.9993,6060479.1672,139,-25.7019
306452.7845,6060566.2545,140,-25.0306
306280.8994,6060652.2370,141,-24.2806
306141.3907,6060677.9600,142,-24.1453
306035.6555,6060776.4519,143,-24.4983
305932.7150,6060873.2567,144,-24.7059
305791.2628,6060902.0672,145,-25.0000
305614.0979,6060988.5302,146,-25.0000
305462.1690,6061028.3433,147,-25.0000
305409.1167,6061128.4200,148,-25.0000
305260.0722,6061175.5511,149,-25.0000
305092.2477,6061256.6397,150,-25.0000
304923.7471,6061338.7568,151,-25.0000
304769.0376,6061419.2982,152,-25.0000
304608.4844,6061517.7624,153,-24.3682
304437.7615,6061602.2678,154,-23.6182
304255.7424,6061671.8667,155,-23.2810
304095.5415,6061760.9496,156,-23.0310
303930.2058,6061855.3571,157,-23.0000
303758.3546,6061945.7272,158,-23.0000
303584.5102,6062035.2203,159,-23.0000
303412.5451,6062124.3061,160,-23.2894
303240.1408,6062213.7875,161,-23.7894
303066.8752,6062303.1881,162,-24.0000
302893.3430,6062392.1234,163,-24.0000
302718.5782,6062481.1210,164,-24.0000
302546.7918,6062573.8549,165,-23.9036
302424.0233,6062670.7100,166,-22.4036
302311.4727,6062657.9500,167,-22.5553
302184.2075,6062755.1744,168,-21.0553
302014.5056,6062843.6434,169,-21.0000
301843.2358,6062924.1707,170,-21.0000
301665.7785,6063016.7575,171,-21.1354
301488.4072,6063106.9617,172,-21.6354
301315.1340,6063193.6197,173,-22.0000
301143.7470,6063284.1511,174,-22.0000
300996.8197,6063345.9600,175,-22.0000
300941.7838,6063502.9814,176,-22.0000
300785.7100,6063483.0000,177,-22.0000
314219.2006,6056700.5223,178,-23.8885
314092.9864,6056825.0162,179,-24.0000
313892.9900,6056806.2267,180,-24.0000
313955.2411,6056943.4443,181,-24.0000
313729.6053,6056923.3167,182,-24.0000
313592.4915,6056959.5134,183,-24.0000
313809.2544,6057050.7386,184,-24.0000
313427.1723,6057039.9542,185,-24.0803
313257.3289,6057134.9167,186,-25.0547
313084.8228,6057232.0790,187,-24.4502
312911.4540,6057329.9290,188,-22.6920
312738.5033,6057427.5378,189,-21.2163
312565.6525,6057525.1066,190,-21.1622
312392.7495,6057622.5169,191,-23.1621
312220.1417,6057719.9036,192,-24.0000
312047.7031,6057817.1230,193,-23.7572
311875.4364,6057914.0997,194,-23.7572
311703.9113,6058011.0784,195,-24.0000
311533.1879,6058112.4569,196,-24.9157
311399.0350,6058210.4433,197,-25.9156
311149.1696,6058304.7968,198,-25.4970
311419.9205,6058361.6711,199,-24.3270
311248.1828,6058446.7349,200,-23.4970
310984.7342,6058403.5545,201,-24.3531
310825.9327,6058496.1951,202,-22.8561
310660.1435,6058586.4975,203,-24.0695
310489.0482,6058675.6813,204,-26.5695
310318.2264,6058761.3023,205,-27.0000
310151.2973,6058841.6601,206,-27.0000
309979.7321,6058934.8316,207,-27.0000
309810.4125,6059035.4228,208,-27.0000
309692.4140,6059129.7033,209,-27.0000
309583.2817,6059117.2700,210,-27.0000
309462.3151,6059209.8572,211,-27.0000
309305.7915,6059294.5041,212,-27.0000
309146.7972,6059367.4094,213,-26.9799
308978.5449,6059452.2332,214,-26.0211
308813.0571,6059542.7007,215,-25.1526
308706.4170,6059635.7833,216,-25.1114
308599.7933,6059624.5900,217,-25.3203
308542.2207,6059717.9867,218,-25.0000
308432.9283,6059706.7033,219,-25.0000
308329.9624,6059793.8521,220,-25.0000
308182.2819,6059879.5708,221,-25.0000
308080.1557,6059975.6400,222,-25.0000
307962.7300,6059965.4500,223,-25.5000
307900.7030,6060051.2800,224,-25.7500
307758.3732,6060086.5505,225,-26.0000
307593.3838,6060176.8623,226,-26.0000
307434.6743,6060255.3051,227,-26.0000
307277.4276,6060331.1735,228,-26.0000
307129.6053,6060412.2751,229,-25.5695
306977.2957,6060495.3705,230,-25.3195
306820.6676,6060577.0848,231,-24.9519
306663.6560,6060651.2426,232,-24.2019
306500.4313,6060728.3624,233,-24.0000
306329.3781,6060813.8511,234,-24.0000
306173.6029,6060891.9273,235,-24.1029
306013.6885,6060981.4970,236,-24.5967
305862.5924,6061057.4468,237,-24.9938
305764.7517,6061140.1000,238,-25.0000
305658.4280,6061124.2500,239,-25.0000
305599.2717,6061225.8200,240,-25.0000
305465.6266,6061258.0466,241,-25.0000
305297.8879,6061345.5117,242,-25.0000
305134.3001,6061423.1811,243,-25.0000
304982.0904,6061500.0006,244,-24.6264
304822.9980,6061580.9239,245,-23.8764
304684.7613,6061628.6433,246,-22.9864
304661.0909,6061759.5230,247,-22.1058
304487.9079,6061752.0894,248,-22.1182
304325.2456,6061819.5351,249,-22.1689
304159.8011,6061913.1122,250,-22.6689
303983.7604,6062010.3509,251,-23.0000
303817.4981,6062094.6680,252,-23.0000
