Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2019 10:35:00,27/05/2020 10:08:00,74.000
WQ_OGM_DOC,16/01/2019 10:26:00,20/05/2020 10:54:00,36.000
WQ_OXY_OXY,02/01/2019 10:35:00,27/05/2020 10:08:00,74.000
WQ_NIT_NIT,16/01/2019 10:26:00,20/05/2020 10:54:00,36.000
WQ_PHS_FRP,16/01/2019 10:26:00,20/05/2020 10:54:00,36.000
WQ_DIAG_TOT_TP,16/01/2019 10:26:00,20/05/2020 10:54:00,36.000
WQ_DIAG_TOT_TKN,16/01/2019 10:26:00,20/05/2020 10:54:00,36.000
TEMP,02/01/2019 10:35:00,27/05/2020 10:08:00,85.000
WQ_DIAG_TOT_TDS,02/01/2019 10:35:00,27/05/2020 10:08:00,74.000
WQ_DIAG_TOT_TURBIDITY,02/01/2019 10:35:00,27/05/2020 10:08:00,74.000
WQ_CAR_PH,02/01/2019 10:35:00,27/05/2020 10:08:00,95.000
