time,fraction_open
01/01/2010 00:00,0.000
03/09/2010 00:00,0.000
04/09/2010 00:00,0.009
05/09/2010 00:00,0.009
06/09/2010 00:00,0.009
07/09/2010 00:00,0.009
08/09/2010 00:00,0.009
09/09/2010 00:00,0.009
10/09/2010 00:00,0.009
11/09/2010 00:00,0.009
12/09/2010 00:00,0.009
13/09/2010 00:00,0.009
14/09/2010 00:00,0.009
15/09/2010 00:00,0.009
16/09/2010 00:00,0.009
17/09/2010 00:00,0.022
18/09/2010 00:00,0.022
19/09/2010 00:00,0.022
20/09/2010 00:00,0.022
21/09/2010 00:00,0.034
22/09/2010 00:00,0.034
23/09/2010 00:00,0.034
24/09/2010 00:00,0.034
25/09/2010 00:00,0.034
26/09/2010 00:00,0.034
27/09/2010 00:00,0.034
28/09/2010 00:00,0.034
29/09/2010 00:00,0.034
30/09/2010 00:00,0.034
01/10/2010 00:00,0.047
02/10/2010 00:00,0.047
03/10/2010 00:00,0.047
04/10/2010 00:00,0.047
05/10/2010 00:00,0.047
06/10/2010 00:00,0.047
07/10/2010 00:00,0.047
08/10/2010 00:00,0.047
09/10/2010 00:00,0.047
10/10/2010 00:00,0.047
11/10/2010 00:00,0.056
12/10/2010 00:00,0.065
13/10/2010 00:00,0.081
14/10/2010 00:00,0.081
15/10/2010 00:00,0.081
16/10/2010 00:00,0.081
17/10/2010 00:00,0.081
18/10/2010 00:00,0.096
19/10/2010 00:00,0.115
20/10/2010 00:00,0.115
21/10/2010 00:00,0.130
22/10/2010 00:00,0.130
23/10/2010 00:00,0.130
24/10/2010 00:00,0.130
25/10/2010 00:00,0.130
26/10/2010 00:00,0.130
27/10/2010 00:00,0.130
28/10/2010 00:00,0.152
29/10/2010 00:00,0.152
30/10/2010 00:00,0.152
31/10/2010 00:00,0.152
01/11/2010 00:00,0.165
02/11/2010 00:00,0.177
03/11/2010 00:00,0.177
04/11/2010 00:00,0.177
05/11/2010 00:00,0.177
06/11/2010 00:00,0.177
07/11/2010 00:00,0.177
08/11/2010 00:00,0.165
09/11/2010 00:00,0.165
10/11/2010 00:00,0.165
11/11/2010 00:00,0.165
12/11/2010 00:00,0.165
13/11/2010 00:00,0.165
14/11/2010 00:00,0.165
15/11/2010 00:00,0.165
16/11/2010 00:00,0.165
17/11/2010 00:00,0.165
18/11/2010 00:00,0.165
19/11/2010 00:00,0.165
20/11/2010 00:00,0.165
21/11/2010 00:00,0.165
22/11/2010 00:00,0.165
23/11/2010 00:00,0.165
24/11/2010 00:00,0.165
25/11/2010 00:00,0.165
26/11/2010 00:00,0.186
27/11/2010 00:00,0.186
28/11/2010 00:00,0.186
29/11/2010 00:00,0.202
30/11/2010 00:00,0.233
01/12/2010 00:00,0.264
02/12/2010 00:00,0.295
03/12/2010 00:00,0.295
04/12/2010 00:00,0.295
05/12/2010 00:00,0.295
06/12/2010 00:00,0.295
07/12/2010 00:00,0.311
08/12/2010 00:00,0.342
09/12/2010 00:00,0.404
10/12/2010 00:00,0.466
11/12/2010 00:00,0.528
12/12/2010 00:00,0.528
13/12/2010 00:00,0.528
14/12/2010 00:00,0.528
15/12/2010 00:00,0.528
16/12/2010 00:00,0.528
17/12/2010 00:00,0.528
18/12/2010 00:00,0.528
19/12/2010 00:00,0.528
20/12/2010 00:00,0.528
21/12/2010 00:00,0.565
22/12/2010 00:00,0.565
23/12/2010 00:00,0.565
24/12/2010 00:00,0.565
25/12/2010 00:00,0.565
26/12/2010 00:00,0.565
27/12/2010 00:00,0.565
28/12/2010 00:00,0.565
29/12/2010 00:00,0.565
30/12/2010 00:00,0.565
31/12/2010 00:00,0.565
01/01/2011 00:00,0.565
02/01/2011 00:00,0.565
03/01/2011 00:00,0.565
04/01/2011 00:00,0.565
05/01/2011 00:00,0.565
06/01/2011 00:00,0.565
07/01/2011 00:00,0.565
08/01/2011 00:00,0.565
09/01/2011 00:00,0.565
10/01/2011 00:00,0.565
11/01/2011 00:00,0.565
12/01/2011 00:00,0.565
13/01/2011 00:00,0.565
14/01/2011 00:00,0.565
15/01/2011 00:00,0.565
16/01/2011 00:00,0.565
17/01/2011 00:00,0.565
18/01/2011 00:00,0.565
19/01/2011 00:00,0.565
20/01/2011 00:00,0.565
21/01/2011 00:00,0.565
22/01/2011 00:00,0.565
23/01/2011 00:00,0.565
24/01/2011 00:00,0.565
25/01/2011 00:00,0.565
26/01/2011 00:00,0.565
27/01/2011 00:00,0.565
28/01/2011 00:00,0.565
29/01/2011 00:00,0.565
30/01/2011 00:00,0.565
31/01/2011 00:00,0.565
01/02/2011 00:00,0.565
02/02/2011 00:00,0.565
