TIME,FRACTION_OPEN
01/01/2010 00:00:00,0
03/09/2010 00:00:00,0
04/09/2010 00:00:00,0.066
05/09/2010 00:00:00,0.049
06/09/2010 00:00:00,0.033
07/09/2010 00:00:00,0.008
08/09/2010 00:00:00,0.008
09/09/2010 00:00:00,0.008
10/09/2010 00:00:00,0.008
11/09/2010 00:00:00,0.008
12/09/2010 00:00:00,0.008
13/09/2010 00:00:00,0.008
14/09/2010 00:00:00,0.041
15/09/2010 00:00:00,0.066
16/09/2010 00:00:00,0.049
17/09/2010 00:00:00,0.008
18/09/2010 00:00:00,0.008
19/09/2010 00:00:00,0.008
20/09/2010 00:00:00,0.008
21/09/2010 00:00:00,0.016
22/09/2010 00:00:00,0.016
23/09/2010 00:00:00,0.016
24/09/2010 00:00:00,0.016
25/09/2010 00:00:00,0.016
26/09/2010 00:00:00,0.016
27/09/2010 00:00:00,0.016
28/09/2010 00:00:00,0.016
29/09/2010 00:00:00,0.016
30/09/2010 00:00:00,0.041
01/10/2010 00:00:00,0.164
02/10/2010 00:00:00,0.164
03/10/2010 00:00:00,0.164
04/10/2010 00:00:00,0.164
05/10/2010 00:00:00,0.164
06/10/2010 00:00:00,0.164
07/10/2010 00:00:00,0.164
08/10/2010 00:00:00,0.164
09/10/2010 00:00:00,0.164
10/10/2010 00:00:00,0.164
11/10/2010 00:00:00,0.164
12/10/2010 00:00:00,0.221
13/10/2010 00:00:00,0.279
14/10/2010 00:00:00,0.361
15/10/2010 00:00:00,0.361
16/10/2010 00:00:00,0.361
17/10/2010 00:00:00,0.361
18/10/2010 00:00:00,0.385
19/10/2010 00:00:00,0.385
20/10/2010 00:00:00,0.385
21/10/2010 00:00:00,0.443
22/10/2010 00:00:00,0.443
23/10/2010 00:00:00,0.443
24/10/2010 00:00:00,0.443
25/10/2010 00:00:00,0.443
26/10/2010 00:00:00,0.443
27/10/2010 00:00:00,0.443
28/10/2010 00:00:00,0.32
29/10/2010 00:00:00,0.32
30/10/2010 00:00:00,0.32
31/10/2010 00:00:00,0.32
01/11/2010 00:00:00,0.385
02/11/2010 00:00:00,0.451
03/11/2010 00:00:00,0.451
04/11/2010 00:00:00,0.451
05/11/2010 00:00:00,0.451
06/11/2010 00:00:00,0.451
07/11/2010 00:00:00,0.451
08/11/2010 00:00:00,0.385
09/11/2010 00:00:00,0.385
10/11/2010 00:00:00,0.262
11/11/2010 00:00:00,0.262
12/11/2010 00:00:00,0.262
13/11/2010 00:00:00,0.262
14/11/2010 00:00:00,0.262
15/11/2010 00:00:00,0.262
16/11/2010 00:00:00,0.262
17/11/2010 00:00:00,0.262
18/11/2010 00:00:00,0.262
19/11/2010 00:00:00,0.262
20/11/2010 00:00:00,0.262
21/11/2010 00:00:00,0.262
22/11/2010 00:00:00,0.262
23/11/2010 00:00:00,0.262
24/11/2010 00:00:00,0.262
25/11/2010 00:00:00,0.303
26/11/2010 00:00:00,0.344
27/11/2010 00:00:00,0.344
28/11/2010 00:00:00,0.344
29/11/2010 00:00:00,0.385
30/11/2010 00:00:00,0.467
