Date,Goolwa (122),Mundoo (26),EweIs (111),Tauw (322),Boundary (6),Hour
01/01/2010 00:00,0.000,0.000,0.000,0.000,0.000,0
03/09/2010 00:00,0.000,0.000,0.000,0.000,0.000,5880
04/09/2010 00:00,0.066,0.000,0.000,0.009,0.000,5904
05/09/2010 00:00,0.049,0.000,0.000,0.009,0.000,5928
06/09/2010 00:00,0.033,0.000,0.000,0.009,0.000,5952
07/09/2010 00:00,0.008,0.000,0.000,0.009,0.000,5976
08/09/2010 00:00,0.008,0.000,0.000,0.009,0.000,6000
09/09/2010 00:00,0.008,0.000,0.000,0.009,0.000,6024
10/09/2010 00:00,0.008,0.000,0.000,0.009,0.000,6048
11/09/2010 00:00,0.008,0.000,0.000,0.009,0.000,6072
12/09/2010 00:00,0.008,0.000,0.000,0.009,0.000,6096
13/09/2010 00:00,0.008,0.000,0.000,0.009,0.000,6120
14/09/2010 00:00,0.041,0.000,0.000,0.009,0.000,6144
15/09/2010 00:00,0.066,0.000,0.000,0.009,0.000,6168
16/09/2010 00:00,0.049,0.000,0.000,0.009,0.000,6192
17/09/2010 00:00,0.008,0.038,0.018,0.022,0.167,6216
18/09/2010 00:00,0.008,0.038,0.018,0.022,0.167,6240
19/09/2010 00:00,0.008,0.038,0.018,0.022,0.167,6264
20/09/2010 00:00,0.008,0.038,0.018,0.022,0.167,6288
21/09/2010 00:00,0.016,0.038,0.018,0.034,0.167,6312
22/09/2010 00:00,0.016,0.038,0.018,0.034,0.167,6336
23/09/2010 00:00,0.016,0.038,0.018,0.034,0.167,6360
24/09/2010 00:00,0.016,0.038,0.018,0.034,0.167,6384
25/09/2010 00:00,0.016,0.038,0.018,0.034,0.167,6408
26/09/2010 00:00,0.016,0.038,0.018,0.034,0.167,6432
27/09/2010 00:00,0.016,0.038,0.018,0.034,0.167,6456
28/09/2010 00:00,0.016,0.038,0.018,0.034,0.167,6480
29/09/2010 00:00,0.016,0.038,0.018,0.034,0.167,6504
30/09/2010 00:00,0.041,0.038,0.018,0.034,0.167,6528
01/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6552
02/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6576
03/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6600
04/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6624
05/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6648
06/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6672
07/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6696
08/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6720
09/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6744
10/10/2010 00:00,0.164,0.038,0.027,0.047,0.167,6768
11/10/2010 00:00,0.164,0.077,0.036,0.056,0.167,6792
12/10/2010 00:00,0.221,0.115,0.045,0.065,0.167,6816
13/10/2010 00:00,0.279,0.115,0.063,0.081,0.167,6840
14/10/2010 00:00,0.361,0.115,0.063,0.081,0.167,6864
15/10/2010 00:00,0.361,0.115,0.063,0.081,0.167,6888
16/10/2010 00:00,0.361,0.115,0.063,0.081,0.167,6912
17/10/2010 00:00,0.361,0.115,0.063,0.081,0.167,6936
18/10/2010 00:00,0.385,0.115,0.081,0.096,0.167,6960
19/10/2010 00:00,0.385,0.115,0.099,0.115,0.167,6984
20/10/2010 00:00,0.385,0.115,0.099,0.115,0.167,7008
21/10/2010 00:00,0.443,0.115,0.099,0.130,0.167,7032
22/10/2010 00:00,0.443,0.115,0.099,0.130,0.167,7056
23/10/2010 00:00,0.443,0.115,0.099,0.130,0.167,7080
24/10/2010 00:00,0.443,0.115,0.099,0.130,0.167,7104
25/10/2010 00:00,0.443,0.115,0.099,0.130,0.167,7128
26/10/2010 00:00,0.443,0.115,0.099,0.130,0.167,7152
27/10/2010 00:00,0.443,0.115,0.099,0.130,0.167,7176
28/10/2010 00:00,0.320,0.115,0.126,0.152,0.167,7200
29/10/2010 00:00,0.320,0.115,0.126,0.152,0.167,7224
30/10/2010 00:00,0.320,0.115,0.126,0.152,0.167,7248
