ResultDate,Level (m),EC @25C (uS/cm)
04/09/18 13:00,0.148,48234
04/09/18 12:00,0.149,48302
04/09/18 11:00,0.132,48341
04/09/18 10:00,0.138,48126
04/09/18 09:00,0.183,47714
04/09/18 08:00,0.226,47380
04/09/18 07:00,0.198,46914
04/09/18 06:00,0.167,47525
04/09/18 05:00,0.103,47502
04/09/18 04:00,0.055,47640
04/09/18 03:00,0.04,47488
04/09/18 02:00,0.002,47330
04/09/18 01:00,-0.037,47073
04/09/18 00:00,-0.05,46024
03/09/18 23:00,-0.05,45917
03/09/18 22:00,-0.029,45587
03/09/18 21:00,-0.003,45997
03/09/18 20:00,0.041,46136
03/09/18 19:00,0.093,45736
03/09/18 18:00,0.129,45265
03/09/18 17:00,0.161,46117
03/09/18 16:00,0.179,45788
03/09/18 15:00,0.203,46711
03/09/18 14:00,0.218,45875
03/09/18 13:00,0.237,45508
03/09/18 12:00,0.238,46329
03/09/18 11:00,0.224,46599
03/09/18 10:00,0.217,46574
03/09/18 09:00,0.281,46303
03/09/18 08:00,0.281,46090
03/09/18 07:00,0.334,46340
03/09/18 06:00,0.372,49208
03/09/18 05:00,0.375,46482
03/09/18 04:00,0.319,46637
03/09/18 03:00,0.263,46433
03/09/18 02:00,0.211,46652
03/09/18 01:00,0.163,46654
03/09/18 00:00,0.188,46576
02/09/18 23:00,0.17,46762
02/09/18 22:00,0.155,46633
02/09/18 21:00,0.168,46844
02/09/18 20:00,0.233,48447
02/09/18 19:00,0.28,49135
02/09/18 18:00,0.358,49333
02/09/18 17:00,0.398,49115
02/09/18 16:00,0.432,50130
02/09/18 15:00,0.375,50399
02/09/18 14:00,0.369,49467
02/09/18 13:00,0.34,49380
02/09/18 12:00,0.323,49065
02/09/18 11:00,0.317,49208
02/09/18 10:00,0.329,50238
02/09/18 09:00,0.328,51537
02/09/18 08:00,0.356,52226
02/09/18 07:00,0.413,52721
02/09/18 06:00,0.476,53946
02/09/18 05:00,0.542,54121
02/09/18 04:00,0.529,53192
02/09/18 03:00,0.456,53223
02/09/18 02:00,0.39,52529
02/09/18 01:00,0.305,52898
02/09/18 00:00,0.269,53168
01/09/18 23:00,0.253,52959
01/09/18 22:00,0.266,52891
01/09/18 21:00,0.291,53190
01/09/18 20:00,0.337,53013
01/09/18 19:00,0.391,52538
01/09/18 18:00,0.477,52626
01/09/18 17:00,0.564,54278
01/09/18 16:00,0.6,54401
01/09/18 15:00,0.575,54684
01/09/18 14:00,0.508,55013
01/09/18 13:00,0.449,54946
01/09/18 12:00,0.423,54795
01/09/18 11:00,0.399,55009
01/09/18 10:00,0.401,55092
01/09/18 09:00,0.396,54985
01/09/18 08:00,0.443,54958
01/09/18 07:00,0.51,54699
01/09/18 06:00,0.619,52920
01/09/18 05:00,0.692,55128
01/09/18 04:00,0.688,55180
01/09/18 03:00,0.644,55060
01/09/18 02:00,0.568,55121
01/09/18 01:00,0.493,54913
01/09/18 00:00,0.435,52189
31/08/18 23:00,0.392,50986
31/08/18 22:00,0.363,53373
31/08/18 21:00,0.358,54823
31/08/18 20:00,0.365,55034
31/08/18 19:00,0.446,54522
31/08/18 18:00,0.56,54174
31/08/18 17:00,0.667,54792
31/08/18 16:00,0.692,54542
31/08/18 15:00,0.644,54753
31/08/18 14:00,0.563,54333
31/08/18 13:00,0.477,54546
31/08/18 12:00,0.41,54214
31/08/18 11:00,0.375,52982
31/08/18 10:00,0.361,52198
31/08/18 09:00,0.355,54508
31/08/18 08:00,0.361,54416
31/08/18 07:00,0.391,54437
31/08/18 06:00,0.45,54057
31/08/18 05:00,0.547,54784
31/08/18 04:00,0.556,54395
31/08/18 03:00,0.505,54324
31/08/18 02:00,0.401,54288
31/08/18 01:00,0.313,53039
31/08/18 00:00,0.231,54547
30/08/18 23:00,0.183,54089
30/08/18 22:00,0.184,53418
30/08/18 21:00,0.196,53761
30/08/18 20:00,0.228,54883
30/08/18 19:00,0.278,54915
30/08/18 18:00,0.365,54783
30/08/18 17:00,0.412,54271
30/08/18 16:00,0.481,54242
30/08/18 15:00,0.405,54302
30/08/18 14:00,0.336,54151
30/08/18 13:00,0.222,54008
30/08/18 12:00,0.141,50306
30/08/18 11:00,0.053,50509
30/08/18 10:00,0.009,50511
30/08/18 09:00,0.009,51320
30/08/18 08:00,0.008,51933
30/08/18 07:00,0.075,52729
30/08/18 06:00,0.123,53156
30/08/18 05:00,0.207,53415
30/08/18 04:00,0.256,54280
30/08/18 03:00,0.274,54319
30/08/18 02:00,0.233,53253
30/08/18 01:00,0.153,52565
30/08/18 00:00,0.036,52061
29/08/18 23:00,0.007,52421
29/08/18 22:00,0.038,52569
29/08/18 21:00,0.075,53853
29/08/18 20:00,0.073,54183
29/08/18 19:00,0.129,54623
29/08/18 18:00,0.2,53671
29/08/18 17:00,0.271,54553
29/08/18 16:00,0.318,54442
29/08/18 15:00,0.299,54308
29/08/18 14:00,0.225,54085
29/08/18 13:00,0.112,51896
29/08/18 12:00,-0.005,50428
29/08/18 11:00,-0.132,51073
29/08/18 10:00,-0.206,50473
29/08/18 09:00,-0.202,49061
29/08/18 08:00,-0.177,48316
29/08/18 07:00,-0.146,48349
29/08/18 06:00,-0.094,49968
29/08/18 05:00,-0.031,50762
29/08/18 04:00,0.009,50813
29/08/18 03:00,0.064,50540
29/08/18 02:00,0.043,50536
29/08/18 01:00,-0.005,50575
29/08/18 00:00,-0.071,50469
28/08/18 23:00,-0.072,50110
28/08/18 22:00,-0.058,48475
28/08/18 21:00,-0.014,49307
28/08/18 20:00,0.028,49731
28/08/18 19:00,0.079,48301
28/08/18 18:00,0.138,50110
28/08/18 17:00,0.203,53641
28/08/18 16:00,0.273,54569
28/08/18 15:00,0.318,54732
28/08/18 14:00,0.273,53872
28/08/18 13:00,0.175,48609
28/08/18 12:00,0.072,47860
28/08/18 11:00,-0.042,48538
28/08/18 10:00,-0.1,47679
28/08/18 09:00,-0.107,47408
28/08/18 08:00,-0.091,47335
28/08/18 07:00,-0.054,47632
28/08/18 06:00,-0.01,47791
28/08/18 05:00,0.042,48334
28/08/18 04:00,0.095,48100
28/08/18 03:00,0.139,47784
28/08/18 02:00,0.159,47484
28/08/18 01:00,0.117,46885
28/08/18 00:00,0.067,46739
27/08/18 23:00,0.051,45408
27/08/18 22:00,0.061,45844
27/08/18 21:00,0.09,45396
27/08/18 20:00,0.125,44863
27/08/18 19:00,0.175,43759
27/08/18 18:00,0.224,45449
27/08/18 17:00,0.296,47071
27/08/18 16:00,0.378,52329
27/08/18 15:00,0.46,53508
27/08/18 14:00,0.442,52599
27/08/18 13:00,0.371,51580
27/08/18 12:00,0.26,42746
27/08/18 11:00,0.177,43170
27/08/18 10:00,0.066,43191
27/08/18 09:00,0.036,43473
27/08/18 08:00,0.046,42852
27/08/18 07:00,0.079,43362
27/08/18 06:00,0.123,44426
27/08/18 05:00,0.168,44170
27/08/18 04:00,0.219,45266
27/08/18 03:00,0.265,44102
27/08/18 02:00,0.283,44220
27/08/18 01:00,0.255,46887
27/08/18 00:00,0.189,45322
26/08/18 23:00,0.152,44792
26/08/18 22:00,0.146,44819
26/08/18 21:00,0.153,46438
26/08/18 20:00,0.188,51160
26/08/18 19:00,0.234,51259
26/08/18 18:00,0.284,52866
26/08/18 17:00,0.375,53289
26/08/18 16:00,0.483,53104
26/08/18 15:00,0.557,53952
26/08/18 14:00,0.545,53673
26/08/18 13:00,0.491,53322
26/08/18 12:00,0.404,52635
26/08/18 11:00,0.311,46392
26/08/18 10:00,0.201,42849
26/08/18 09:00,0.133,42513
26/08/18 08:00,0.088,42277
26/08/18 07:00,0.094,42574
26/08/18 06:00,0.102,42142
26/08/18 05:00,0.129,42990
26/08/18 04:00,0.172,40619
26/08/18 03:00,0.216,41821
26/08/18 02:00,0.245,41280
26/08/18 01:00,0.232,43715
26/08/18 00:00,0.188,43472
25/08/18 23:00,0.148,42156
25/08/18 22:00,0.128,41542
25/08/18 21:00,0.141,40583
25/08/18 20:00,0.176,40309
25/08/18 19:00,0.209,40412
25/08/18 18:00,0.259,42534
25/08/18 17:00,0.324,41078
25/08/18 16:00,0.406,53104
25/08/18 15:00,0.493,53132
25/08/18 14:00,0.505,53166
25/08/18 13:00,0.474,53079
25/08/18 12:00,0.413,52741
25/08/18 11:00,0.322,39945
25/08/18 10:00,0.234,41002
25/08/18 09:00,0.144,39788
25/08/18 08:00,0.096,39497
25/08/18 07:00,0.087,38801
25/08/18 06:00,0.101,40166
25/08/18 05:00,0.129,40131
25/08/18 04:00,0.165,39459
25/08/18 03:00,0.197,39727
25/08/18 02:00,0.233,41650
25/08/18 01:00,0.237,43912
25/08/18 00:00,0.222,43472
24/08/18 23:00,0.231,43449
24/08/18 22:00,0.242,42697
24/08/18 21:00,0.263,44862
24/08/18 20:00,0.297,46408
24/08/18 19:00,0.325,48818
24/08/18 18:00,0.376,47223
24/08/18 17:00,0.443,48428
24/08/18 16:00,0.52,54365
24/08/18 15:00,0.614,54313
24/08/18 14:00,0.654,54576
24/08/18 13:00,0.657,54535
24/08/18 12:00,0.602,54477
24/08/18 11:00,0.538,54315
24/08/18 10:00,0.48,52371
24/08/18 09:00,0.412,42887
24/08/18 08:00,0.35,43123
24/08/18 07:00,0.304,42838
24/08/18 06:00,0.271,43187
24/08/18 05:00,0.267,42063
24/08/18 04:00,0.272,41341
24/08/18 03:00,0.305,41402
24/08/18 02:00,0.34,42250
24/08/18 01:00,0.345,44367
24/08/18 00:00,0.332,45098
23/08/18 23:00,0.304,45728
23/08/18 22:00,0.291,44497
23/08/18 21:00,0.272,43174
23/08/18 20:00,0.301,42058
23/08/18 19:00,0.319,49486
23/08/18 18:00,0.368,49928
23/08/18 17:00,0.417,49262
23/08/18 16:00,0.467,54336
23/08/18 15:00,0.531,54502
23/08/18 14:00,0.574,54480
23/08/18 13:00,0.574,54540
23/08/18 12:00,0.542,54440
23/08/18 11:00,0.485,53592
23/08/18 10:00,0.408,47699
23/08/18 09:00,0.323,38166
23/08/18 08:00,0.252,38554
23/08/18 07:00,0.173,38055
23/08/18 06:00,0.139,38297
23/08/18 05:00,0.117,38608
23/08/18 04:00,0.115,39152
23/08/18 03:00,0.107,39178
23/08/18 02:00,0.122,39391
23/08/18 01:00,0.131,38896
23/08/18 00:00,0.15,38163
22/08/18 23:00,0.155,38490
22/08/18 22:00,0.163,37869
22/08/18 21:00,0.178,37713
22/08/18 20:00,0.204,37436
22/08/18 19:00,0.241,36532
22/08/18 18:00,0.283,37895
22/08/18 17:00,0.316,35053
22/08/18 16:00,0.36,37525
22/08/18 15:00,0.408,52367
22/08/18 14:00,0.441,52105
22/08/18 13:00,0.465,53513
22/08/18 12:00,0.48,53328
22/08/18 11:00,0.478,52628
22/08/18 10:00,0.44,41679
22/08/18 09:00,0.363,36047
22/08/18 08:00,0.294,35689
22/08/18 07:00,0.237,35585
22/08/18 06:00,0.198,35763
22/08/18 05:00,0.182,36273
22/08/18 04:00,0.195,36895
22/08/18 03:00,0.173,37244
22/08/18 02:00,0.177,36476
22/08/18 01:00,0.157,37442
22/08/18 00:00,0.165,36139
21/08/18 23:00,0.189,36521
21/08/18 22:00,0.198,37087
21/08/18 21:00,0.21,37795
21/08/18 20:00,0.231,38119
21/08/18 19:00,0.23,39008
21/08/18 18:00,0.27,44271
21/08/18 17:00,0.296,43182
21/08/18 16:00,0.374,52622
21/08/18 15:00,0.404,52600
21/08/18 14:00,0.409,53241
