Variable,Site
FLOW,A4261220
SAL,A4261207
TEMP,A4261207
TRACE_1,No Site
WQ_TRC_AGE,No Site
WQ_NCS_SS1,EPA_Tauwitcherie
WQ_OXY_OXY,EPA2014_Coorong_Tauwitchere_Barrage
WQ_SIL_RSI,EPA_Tauwitcherie
WQ_NIT_AMM,EPA_Tauwitcherie
WQ_NIT_NIT,EPA_Tauwitcherie
WQ_PHS_FRP,EPA_Tauwitcherie
WQ_PHS_FRP_ADS,EPA_Tauwitcherie
WQ_OGM_DOC,EPA_Tauwitcherie
WQ_OGM_POC,EPA_Tauwitcherie
WQ_OGM_DON,EPA_Tauwitcherie
WQ_OGM_PON,EPA_Tauwitcherie
WQ_OGM_DOP,EPA_Tauwitcherie
WQ_OGM_POP,EPA_Tauwitcherie
WQ_PHY_GRN,EPA_Tauwitcherie
