Variable Name,Min Date,Max Date,Number of Samples
SAL,09/01/2019 09:30:00,26/05/2020 09:35:00,73.000
WQ_OGM_DOC,09/01/2019 09:30:00,26/05/2020 09:35:00,73.000
WQ_OXY_OXY,09/01/2019 09:30:00,26/05/2020 09:35:00,73.000
WQ_NIT_NIT,09/01/2019 09:30:00,20/05/2020 10:52:00,55.000
WQ_PHS_FRP,09/01/2019 09:30:00,20/05/2020 10:52:00,55.000
WQ_DIAG_TOT_TP,09/01/2019 09:30:00,20/05/2020 10:52:00,55.000
WQ_SIL_RSI,16/01/2019 09:51:00,06/05/2020 09:53:00,18.000
WQ_DIAG_TOT_TKN,09/01/2019 09:30:00,20/05/2020 10:52:00,55.000
TEMP,09/01/2019 09:30:00,26/05/2020 09:35:00,73.000
WQ_DIAG_TOT_TDS,09/01/2019 09:30:00,26/05/2020 09:35:00,73.000
WQ_DIAG_TOT_TURBIDITY,09/01/2019 09:30:00,26/05/2020 09:35:00,73.000
WQ_CAR_PH,09/01/2019 09:30:00,26/05/2020 09:35:00,73.000
