ID,TRC_fs1,TRC_fs2,MAC_pota,MAC_ruppia,MAC_schoen,PHY_mpb,SBG_litter,LND_theta,LND_phreatic,LND_lai,SBG_pom0_lay1,SBG_anc0_lay1,VEG_grasses_cover,VEG_eucalypt_cover
1,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
2,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
3,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.99074,0.00926
4,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
5,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
6,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.76356,0.23644
7,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.98171,0.01829
8,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
9,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.79093,0.20907
10,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
11,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
12,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.97062,0.02938
13,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
14,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
15,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
16,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
17,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
18,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.96469,0.03531
19,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
20,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
21,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.90291,0.09709
22,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
23,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
24,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.94251,0.05749
25,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
26,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
27,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.99852,0.00148
28,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
29,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
30,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
31,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.98425,0.01575
32,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
33,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
34,0.90000,0.10000,0.00000,0.00000,0.00000,0.00000,200000.00000,0.50000,0.10000,0.32550,26000.00000,0.00000,0.70990,0.29010
35,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.99922,0.00078
36,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
37,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.73456,0.26544
38,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
39,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
40,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.96023,0.03977
41,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,1.00000,0.00000
42,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.99976,0.00024
43,0.80000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,20000.00000,0.00000,0.99578,0.00422
