Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2018 09:14:00,28/05/2019 08:21:00,74.000
WQ_OGM_DOC,02/01/2018 09:14:00,28/05/2019 08:21:00,74.000
WQ_NIT_NIT,09/01/2018 09:05:00,21/05/2019 08:25:00,37.000
WQ_PHS_FRP,09/01/2018 09:05:00,21/05/2019 08:25:00,37.000
WQ_DIAG_TOT_TP,09/01/2018 09:05:00,21/05/2019 08:25:00,37.000
WQ_DIAG_TOT_TKN,09/01/2018 09:05:00,21/05/2019 08:25:00,37.000
WQ_DIAG_TOT_TDS,02/01/2018 09:14:00,28/05/2019 08:21:00,74.000
WQ_DIAG_TOT_TURBIDITY,02/01/2018 09:14:00,28/05/2019 08:21:00,74.000
WQ_CAR_PH,09/01/2018 09:05:00,07/05/2019 08:26:00,17.000
