Date,MAPL,MBO,SRS,Swan Reach-Mypolonga,Tailem Bend WTP,,,,,,,,,,
1/06/2018,64.91,110.82,16.11,0.38,7.39,,,,,,,,,,
2/06/2018,65.17,58.2,16.35,0.37,5.49,,,,,,,,,,
3/06/2018,78.74,46.29,35.73,0.35,5.89,,,,,,,,,,
4/06/2018,80.67,22.35,28.52,0.48,6.77,,,,,,,,,,
5/06/2018,92.74,28.58,12.53,0.37,6.44,,,,,,,,,,
6/06/2018,55.2,17.83,14.12,0.38,4.64,,,,,,,,,,
7/06/2018,102.89,27.85,23.1,0.47,6.85,,,,,,,,,,
8/06/2018,229.13,338.35,40.67,0.54,8.69,,,,,,,,,,
9/06/2018,92.63,26.01,10.3,0.48,7.06,,,,,,,,,,
10/06/2018,89.45,89.96,38.23,0.4,6.9,,,,,,,,,,
11/06/2018,154.76,206.95,23.26,0.4,4.81,,,,,,,,,,
12/06/2018,126.73,79.79,17,0.41,6.6,,,,,,,,,,
13/06/2018,82.93,66.26,15.8,0.38,4.14,,,,,,,,,,
14/06/2018,99.08,63.53,12.17,0.38,6.01,,,,,,,,,,
15/06/2018,84.94,92.41,16.25,0.32,3.72,,,,,,,,,,
16/06/2018,138.83,49.19,15.84,0.37,6.14,,,,,,,,,,
17/06/2018,168.03,175.06,36.78,0.32,1.6,,,,,,,,,,
18/06/2018,124.74,107.94,25.11,0.37,4.91,,,,,,,,,,
19/06/2018,104.06,5.66,13.67,0.43,4.93,,,,,,,,,,
20/06/2018,83.11,121.59,11.47,0.42,4.7,,,,,,,,,,
21/06/2018,77.47,25.38,23.3,0.4,6.42,,,,,,,,,,
22/06/2018,64.51,13.08,19.75,0.44,4.86,,,,,,,,,,
23/06/2018,76.4,23.56,14.03,0.39,7.28,,,,,,,,,,
24/06/2018,117.03,74.22,35.43,0.37,5.82,,,,,,,,,,
25/06/2018,160.55,55.03,30.36,0.37,5.38,,,,,,,,,,
26/06/2018,82.57,87.08,13.37,0.42,4.84,,,,,,,,,,
27/06/2018,87.65,10.39,14.19,0.46,6.54,,,,,,,,,,
28/06/2018,52.31,13.64,14.53,0.39,7.06,,,,,,,,,,
29/06/2018,87.17,78.81,21.74,0.4,8.16,,,,,,,,,,
30/06/2018,117.64,162.23,16.77,0.29,5.59,,,,,,,,,,
1/07/2018,147.87,165.95,35.35,0.39,4.04,,,,,,,,,,
2/07/2018,104.01,127.53,31.95,0.4,4.79,,,,,,,,,,
3/07/2018,98.13,132.99,12.16,0.35,4.92,,,,,,,,,,
4/07/2018,62.33,147.44,13.72,0.32,6.61,,,,,,,,,,
5/07/2018,89.29,317.95,12.34,0.33,4.72,,,,,,,,,,
