Date,Total_IRR,Latest Run>Water User>SA IRRI LLakes>Demand & Storage Interface>Demand Model>Total Water Supplied,Latest Run>Water User>SA IRRI LMRIA>Demand & Storage Interface>Demand Model>Total Water Supplied,Riverlands Below L1,Latest Run>Water User>SA IRRI Riverlands>Demand & Storage Interface>Demand Model>Total Water Supplied
1/01/2018,165.679949,40.107,46.55,79.022949,1837.743
2/01/2018,153.795697,36.324,43.547,73.924697,1719.179
3/01/2018,168.462512,40.864,47.301,80.297512,1867.384
4/01/2018,199.332874,45.405,57.061,96.866874,2252.718
5/01/2018,232.696941,60.54,63.819,108.337941,2519.487
6/01/2018,268.86326,70.377,73.579,124.90726,2904.82
7/01/2018,161.4043277,40.107,57.061,64.23632768,1493.868086
8/01/2018,122.4929648,40.864,48.802,32.82696483,763.4177867
9/01/2018,115.9833837,39.351,46.55,30.08238371,699.5903189
10/01/2018,94.06039485,37.08,37.54,19.44039485,452.1022058
11/01/2018,130.9787744,55.242,58.563,17.17377436,399.3901015
12/01/2018,74.75907694,25.729,39.042,9.988076944,232.2808592
13/01/2018,65.57702528,24.937,33.786,6.854025277,159.3959367
14/01/2018,94.3931725,40.864,45.799,7.730172496,179.7714534
15/01/2018,92.91792049,28.891,54.809,9.217920495,214.3702441
16/01/2018,114.552823,46.161,58.563,9.828823031,228.5772798
17/01/2018,137.1959751,63.566,63.068,10.56197508,245.6273274
18/01/2018,151.7478274,71.134,69.074,11.5398274,268.3680791
19/01/2018,155.3357312,70.377,72.828,12.13073119,282.1100277
20/01/2018,101.5827696,33.297,58.563,9.722769568,226.1109202
21/01/2018,107.7260817,38.594,59.314,9.81808173,228.3274821
22/01/2018,94.16376121,34.683,51.055,8.425761212,195.9479352
23/01/2018,105.094588,43.891,52.556,8.647588032,201.1066984
24/01/2018,106.2952648,41.621,55.56,9.114264752,211.9596454
25/01/2018,113.022556,43.134,60.065,9.823555956,228.4547897
26/01/2018,94.48108247,38.594,48.052,7.835082474,182.2112203
27/01/2018,125.3032571,53.729,61.566,10.00825711,232.7501653
28/01/2018,135.4578538,61.296,63.819,10.34285383,240.5314845
29/01/2018,64.92625219,13.471,44.298,7.157252194,166.4477254
30/01/2018,22.95754188,0,20.272,2.685541878,62.45446228
31/01/2018,39.90137581,2.432,32.285,5.184375811,120.5668793
1/02/2018,89.58245024,35.839,46.327,7.416450239,172.475587
2/02/2018,116.352085,45.778,60.861,9.713084972,225.885697
3/02/2018,131.9326438,54.018,67.22,10.69464378,248.712646
4/02/2018,141.3285488,61.342,69.037,10.94954881,254.64067
5/02/2018,143.3976587,61.342,70.853,11.20265874,260.5269474
6/02/2018,136.9546245,54.934,70.853,11.16762454,259.7121985
7/02/2018,147.8039405,59.511,76.304,11.98894051,278.8125699
8/02/2018,147.6309303,60.427,75.395,11.80893034,274.626287
9/02/2018,140.107031,61.342,68.128,10.63703104,247.3728149
10/02/2018,116.0876754,53.102,54.503,8.482675382,197.2715205
11/02/2018,90.51764851,41.2,42.694,6.623648508,154.0383374
12/02/2018,97.05637273,39.369,49.961,7.726372726,179.6830867
13/02/2018,115.0918194,52.187,54.503,8.401819411,195.3911491
14/02/2018,102.2358006,46.694,48.144,7.397800613,172.0418747
15/02/2018,96.98225687,39.369,49.961,7.652256869,177.9594621
16/02/2018,92.90050334,38.453,47.236,7.211503341,167.70938
17/02/2018,104.9130157,42.116,54.503,8.294015683,192.8840857
18/02/2018,90.49763361,25.636,56.319,8.542633611,198.6658979
19/02/2018,71.19708752,36.968,30.521,3.708087523,86.23459356
20/02/2018,118.1677051,51.271,58.136,8.760705104,203.737328
21/02/2018,87.1503347,26.551,52.686,7.913334695,184.0310394
22/02/2018,75.50743165,27.467,41.785,6.255431652,145.4751547
23/02/2018,135.4602323,61.342,64.495,9.623232303,223.7961001
24/02/2018,33.73331023,5.129,25.253,3.351310233,77.93744727
25/02/2018,76.10616265,30.213,39.969,5.924162646,137.7712243
26/02/2018,104.416071,43.947,52.686,7.783070975,181.0016506
27/02/2018,131.1636943,61.342,60.861,8.960694292,208.3882393
28/02/2018,94.57750365,39.369,48.144,7.064503646,164.2907825
1/03/2018,68.41364034,28.482,34.173,5.758640338,133.9218683
2/03/2018,72.95881493,38.417,29.573,4.968814927,115.5538355
3/03/2018,66.73956408,29.144,32.201,5.394564079,125.4549786
4/03/2018,58.35756825,23.845,29.573,4.939568249,114.8736802
5/03/2018,99.75861524,62.962,31.544,5.252615236,122.1538427
6/03/2018,129.5221572,88.145,35.487,5.890157245,136.980401
7/03/2018,158.4730278,111.203,40.745,6.525027763,151.7448317
8/03/2018,210.200538,127.956,75.575,6.669538019,155.1055353
9/03/2018,281.0495741,132.117,142.387,6.545574104,152.2226536
10/03/2018,291.8643573,138.373,146.768,6.723357325,156.3571471
