Time,A2390568,,A2390568,,,,,
and,Discharge (Ml/day),,EC corrected (uS/cm),,,,Quality Code:,
Date,Mean Daily,Quality Code,Mean Daily,Quality Code,,,1,Good Quality
2/01/2016 0:00,0,1,,153,,,153,Not recored - outside recordable range of instrument
3/01/2016 0:00,0,1,,153,,,150,Unverified Telemetered data
4/01/2016 0:00,0,1,,153,,,,
5/01/2016 0:00,0,1,,153,,,,
6/01/2016 0:00,0,1,,153,,,,
7/01/2016 0:00,0,1,,153,,,,
8/01/2016 0:00,0,1,,153,,,,
9/01/2016 0:00,0,1,,153,,,,
10/01/2016 0:00,0,1,,153,,,,
11/01/2016 0:00,0,1,,153,,,,
12/01/2016 0:00,0,1,,153,,,,
13/01/2016 0:00,0,1,,153,,,,
14/01/2016 0:00,0,1,,153,,,,
15/01/2016 0:00,0,1,,153,,,,
16/01/2016 0:00,0,1,,153,,,,
17/01/2016 0:00,0,1,,153,,,,
18/01/2016 0:00,0,1,,153,,,,
19/01/2016 0:00,0,1,,153,,,,
20/01/2016 0:00,0,1,,153,,,,
21/01/2016 0:00,0,1,,153,,,,
22/01/2016 0:00,0,1,,153,,,,
23/01/2016 0:00,0,1,,153,,,,
24/01/2016 0:00,0,1,,153,,,,
25/01/2016 0:00,0,1,,153,,,,
26/01/2016 0:00,0,1,,153,,,,
27/01/2016 0:00,0,1,,153,,,,
28/01/2016 0:00,0,1,,153,,,,
29/01/2016 0:00,0,1,,153,,,,
30/01/2016 0:00,0,1,,153,,,,
31/01/2016 0:00,0,1,,153,,,,
1/02/2016 0:00,0,1,,153,,,,
2/02/2016 0:00,0,1,,153,,,,
3/02/2016 0:00,0,1,,153,,,,
4/02/2016 0:00,0,1,,153,,,,
5/02/2016 0:00,0,1,,153,,,,
6/02/2016 0:00,0,1,,153,,,,
7/02/2016 0:00,0,1,,153,,,,
8/02/2016 0:00,0,1,,153,,,,
9/02/2016 0:00,0,1,,153,,,,
10/02/2016 0:00,0,1,,153,,,,
11/02/2016 0:00,0,1,,153,,,,
