"Time","A2390568","A2390568","A2390568"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
09/08/2000 00:00,"","",""
10/08/2000 00:00,         0.1,         0.1,         0.1
11/08/2000 00:00,         0.1,         0.1,         0.1
12/08/2000 00:00,         0.1,         0.1,         0.1
13/08/2000 00:00,         0.1,         0.1,         0.1
14/08/2000 00:00,         0.1,         0.1,         0.1
15/08/2000 00:00,         0.1,         0.1,         0.1
16/08/2000 00:00,         0.1,         0.1,         0.1
17/08/2000 00:00,         0.1,         0.1,         0.1
18/08/2000 00:00,         0.1,         0.1,         0.1
19/08/2000 00:00,         0.1,         0.1,         0.1
20/08/2000 00:00,         0.1,         0.1,         0.1
21/08/2000 00:00,         0.1,         0.1,         0.1
22/08/2000 00:00,         0.2,         0.2,         0.1
23/08/2000 00:00,         0.2,         0.2,         0.2
24/08/2000 00:00,         0.2,         0.2,         0.2
25/08/2000 00:00,         0.2,         0.2,         0.2
26/08/2000 00:00,         0.2,         0.2,         0.2
27/08/2000 00:00,         0.3,         0.2,         0.2
28/08/2000 00:00,         0.3,         0.3,         0.2
29/08/2000 00:00,         1.3,         0.5,         0.3
30/08/2000 00:00,        25.4,         9.3,         0.2
31/08/2000 00:00,        28.3,        26.4,        25.3
01/09/2000 00:00,        29.6,        27.2,        24.1
02/09/2000 00:00,        28.3,        23.6,        17.1
03/09/2000 00:00,        30.2,        28.6,        26.5
04/09/2000 00:00,        29.9,        26.1,        18.9
05/09/2000 00:00,        31.6,        30.5,        26.4
06/09/2000 00:00,        32.3,        30.2,        29.1
07/09/2000 00:00,        33.5,        28.9,        22.5
08/09/2000 00:00,        35.0,        29.6,        23.8
09/09/2000 00:00,        39.4,        36.3,        32.9
10/09/2000 00:00,        39.7,        36.8,        30.6
11/09/2000 00:00,        44.7,        39.9,        26.8
12/09/2000 00:00,        46.8,        44.6,        43.0
13/09/2000 00:00,        47.5,        43.9,        37.4
14/09/2000 00:00,        49.6,        46.8,        44.3
15/09/2000 00:00,        50.8,        49.0,        46.8
16/09/2000 00:00,        50.8,        49.4,        46.1
17/09/2000 00:00,        50.8,        48.7,        45.4
18/09/2000 00:00,        49.9,        48.0,        44.7
19/09/2000 00:00,        52.4,        48.9,        42.0
20/09/2000 00:00,        52.7,        50.7,        47.5
21/09/2000 00:00,        52.1,        50.7,        49.7
22/09/2000 00:00,        52.7,        51.1,        48.6
23/09/2000 00:00,        52.4,        50.5,        48.9
24/09/2000 00:00,        56.2,        52.3,        48.6
25/09/2000 00:00,        54.3,        51.6,        50.5
26/09/2000 00:00,        53.5,        52.3,        51.2
