Variable,Site
FLOW,A4261099
SAL,EPA2014_Currency_Creek_US_of_Narrows
TEMP,EPA2014_Currency_Creek_US_of_Narrows
TRACE_1,No Site
WQ_TRC_AGE,No Site
WQ_NCS_SS1,EPA2014_Currency_Creek_US_of_Narrows
WQ_OXY_OXY,EPA2014_Currency_Creek_US_of_Narrows
WQ_SIL_RSI,EPA_Currency
WQ_NIT_AMM,EPA2014_Currency_Creek_US_of_Narrows
WQ_NIT_NIT,EPA2014_Currency_Creek_US_of_Narrows
WQ_PHS_FRP,EPA2014_Currency_Creek_US_of_Narrows
WQ_PHS_FRP_ADS,EPA2014_Currency_Creek_US_of_Narrows
WQ_OGM_DOC,EPA2014_Currency_Creek_Currency_1
WQ_OGM_POC,EPA2014_Currency_Creek_Currency_1
WQ_OGM_DON,EPA2014_Currency_Creek_US_of_Narrows
WQ_OGM_PON,EPA2014_Currency_Creek_US_of_Narrows
WQ_OGM_DOP,EPA2014_Currency_Creek_US_of_Narrows
WQ_OGM_POP,EPA2014_Currency_Creek_US_of_Narrows
WQ_PHY_GRN,EPA_Currency
