Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2019 08:36:00,26/05/2020 09:17:00,74.000
WQ_OGM_DOC,02/01/2019 08:36:00,26/05/2020 09:17:00,74.000
WQ_NIT_NIT,02/01/2019 08:36:00,19/05/2020 09:38:00,37.000
WQ_PHS_FRP,02/01/2019 08:36:00,19/05/2020 09:38:00,37.000
WQ_DIAG_TOT_TP,02/01/2019 08:36:00,19/05/2020 09:38:00,37.000
WQ_DIAG_TOT_TKN,02/01/2019 08:36:00,19/05/2020 09:38:00,37.000
WQ_DIAG_TOT_TDS,02/01/2019 08:36:00,26/05/2020 09:17:00,74.000
WQ_DIAG_TOT_TURBIDITY,02/01/2019 08:36:00,26/05/2020 09:17:00,74.000
WQ_CAR_PH,08/01/2019 09:56:00,05/05/2020 09:05:00,17.000
