Variable Name,Min Date,Max Date,Number of Samples
WQ_DIAG_PHY_TCHLA,03/01/2018 06:55:00,28/05/2019 12:35:00,74.000
SAL,03/01/2018 06:55:00,28/05/2019 12:35:00,92.000
WQ_OGM_DOC,03/01/2018 06:55:00,28/05/2019 12:35:00,74.000
WQ_OXY_OXY,03/01/2018 06:55:00,28/05/2019 12:35:00,74.000
WQ_PHS_FRP,03/01/2018 06:55:00,28/05/2019 12:35:00,74.000
WQ_DIAG_TOT_TP,03/01/2018 06:55:00,28/05/2019 12:35:00,74.000
WQ_SIL_RSI,03/01/2018 06:55:00,28/05/2019 12:35:00,74.000
WQ_DIAG_TOT_TKN,03/01/2018 06:55:00,28/05/2019 12:35:00,74.000
TEMP,03/01/2018 06:55:00,28/05/2019 12:35:00,74.000
WQ_DIAG_TOT_TDS,03/01/2018 06:55:00,28/05/2019 12:35:00,92.000
WQ_DIAG_TOT_TURBIDITY,03/01/2018 06:55:00,28/05/2019 12:35:00,74.000
WQ_CAR_PH,03/01/2018 06:55:00,28/05/2019 12:35:00,92.000
