"Time","A5041051","A5041051","A5041051"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
05/06/2000 00:00,"","",""
06/06/2000 00:00,       1.885,       0.548,       0.000
07/06/2000 00:00,       0.259,       0.190,       0.001
08/06/2000 00:00,       0.173,       0.132,       0.000
09/06/2000 00:00,       1.642,       0.389,       0.000
10/06/2000 00:00,       0.218,       0.070,       0.000
11/06/2000 00:00,       0.000,       0.000,       0.000
12/06/2000 00:00,       0.000,       0.000,       0.000
13/06/2000 00:00,       0.000,       0.000,       0.000
14/06/2000 00:00,       0.000,       0.000,       0.000
15/06/2000 00:00,       0.000,       0.000,       0.000
16/06/2000 00:00,       0.778,       0.155,       0.000
17/06/2000 00:00,       0.131,       0.023,       0.000
18/06/2000 00:00,       0.000,       0.000,       0.000
19/06/2000 00:00,       0.000,       0.000,       0.000
20/06/2000 00:00,       3.110,       0.402,       0.000
21/06/2000 00:00,      40.867,       6.859,       0.000
22/06/2000 00:00,     347.242,     164.181,       7.344
23/06/2000 00:00,     197.283,     188.078,     178.872
24/06/2000 00:00,     178.872,     169.666,     160.461
25/06/2000 00:00,     160.461,     151.255,     142.049
26/06/2000 00:00,     142.049,     132.844,     123.638
27/06/2000 00:00,     123.638,     114.432,     105.227
28/06/2000 00:00,     105.227,      96.021,      86.815
29/06/2000 00:00,      86.815,      77.610,      68.404
30/06/2000 00:00,      68.404,      59.198,      49.993
01/07/2000 00:00,      49.993,      40.787,      31.581
02/07/2000 00:00,      31.581,      22.376,      13.170
03/07/2000 00:00,      13.170,       4.767,       0.134
04/07/2000 00:00,       0.173,       0.107,       0.000
05/07/2000 00:00,      28.944,       2.681,       0.000
06/07/2000 00:00,      21.285,       2.876,       0.485
07/07/2000 00:00,       5.875,       0.835,       0.000
08/07/2000 00:00,       0.255,       0.241,       0.226
09/07/2000 00:00,       0.226,       0.212,       0.197
10/07/2000 00:00,       0.197,       0.183,       0.173
11/07/2000 00:00,       0.173,       0.086,       0.000
12/07/2000 00:00,       0.778,       0.437,       0.000
13/07/2000 00:00,       0.748,       0.720,       0.693
14/07/2000 00:00,       0.693,       0.665,       0.637
15/07/2000 00:00,       0.637,       0.609,       0.582
16/07/2000 00:00,       0.582,       0.554,       0.526
17/07/2000 00:00,       0.526,       0.499,       0.471
18/07/2000 00:00,       0.471,       0.443,       0.416
19/07/2000 00:00,       0.416,       0.388,       0.360
20/07/2000 00:00,       0.360,       0.333,       0.305
21/07/2000 00:00,       0.305,       0.277,       0.250
22/07/2000 00:00,       0.250,       0.222,       0.194
23/07/2000 00:00,       0.194,       0.167,       0.139
