"Time","A5030504","A5030504","A5030504"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
14/08/1973 00:00,     663.811,     334.798,     231.811
15/08/1973 00:00,     657.340,     391.988,     262.323
16/08/1973 00:00,     384.998,     313.304,     247.190
17/08/1973 00:00,     327.240,     252.692,     206.821
18/08/1973 00:00,     255.744,     212.846,     197.549
19/08/1973 00:00,     197.549,     180.044,     166.164
20/08/1973 00:00,     166.164,     158.153,     148.662
21/08/1973 00:00,     148.662,     139.667,     132.193
22/08/1973 00:00,     132.193,     125.939,     118.634
23/08/1973 00:00,     118.634,     111.496,     105.673
24/08/1973 00:00,     105.673,     101.279,      98.160
25/08/1973 00:00,      98.160,      93.328,      89.622
26/08/1973 00:00,     113.355,      91.151,      88.301
27/08/1973 00:00,    2572.474,    1150.980,     113.355
28/08/1973 00:00,     747.481,     434.487,     303.697
29/08/1973 00:00,     303.697,     259.811,     243.853
30/08/1973 00:00,     243.853,     208.372,     178.557
31/08/1973 00:00,     178.557,     161.324,     144.843
01/09/1973 00:00,   17477.251,    3614.555,     142.819
02/09/1973 00:00,   16218.714,    6630.409,    2031.031
03/09/1973 00:00,    2031.031,    1552.140,    1328.400
04/09/1973 00:00,    3880.310,    2630.372,    1397.606
05/09/1973 00:00,    2397.894,    1490.382,    1003.622
06/09/1973 00:00,    2433.456,    1562.544,     986.332
07/09/1973 00:00,     986.332,     730.358,     558.812
08/09/1973 00:00,     558.812,     463.586,     377.436
09/09/1973 00:00,     377.436,     338.577,     299.748
10/09/1973 00:00,     299.748,     264.980,     239.275
11/09/1973 00:00,     256.634,     231.717,     222.480
12/09/1973 00:00,     369.533,     300.512,     256.634
13/09/1973 00:00,    1352.238,     755.668,     369.533
14/09/1973 00:00,    1488.499,    1018.992,     522.488
15/09/1973 00:00,     522.488,     392.923,     309.506
16/09/1973 00:00,     309.506,     271.677,     238.766
17/09/1973 00:00,     238.766,     212.706,     189.172
18/09/1973 00:00,     189.172,     170.981,     158.544
19/09/1973 00:00,     332.208,     248.309,     158.946
20/09/1973 00:00,     255.106,     199.888,     166.187
21/09/1973 00:00,     166.187,     150.552,     138.950
22/09/1973 00:00,     138.950,     132.715,     130.723
23/09/1973 00:00,     382.147,     211.155,     130.982
24/09/1973 00:00,     318.298,     257.195,     197.974
25/09/1973 00:00,     242.957,     185.991,     159.926
26/09/1973 00:00,     275.702,     220.173,     189.130
27/09/1973 00:00,     214.360,     168.597,     142.329
28/09/1973 00:00,     142.329,     128.256,     117.544
29/09/1973 00:00,     117.544,     107.177,      98.236
30/09/1973 00:00,      98.236,      90.819,      88.221
01/10/1973 00:00,      88.221,      86.118,      82.609
02/10/1973 00:00,      82.609,      78.510,      76.171
03/10/1973 00:00,      76.171,      73.441,      72.230
04/10/1973 00:00,      72.922,      69.992,      66.932
05/10/1973 00:00,      66.932,      64.366,      62.036
06/10/1973 00:00,      62.036,      60.049,      58.913
07/10/1973 00:00,      58.913,      55.241,      52.331
08/10/1973 00:00,      52.331,      50.899,      50.026
09/10/1973 00:00,      52.847,      50.392,      48.989
10/10/1973 00:00,      53.844,      51.708,      49.594
11/10/1973 00:00,     114.826,      83.266,      53.844
12/10/1973 00:00,      80.642,      72.697,      65.485
13/10/1973 00:00,      65.485,      60.371,      56.621
14/10/1973 00:00,      56.621,      52.751,      48.507
15/10/1973 00:00,      48.507,      45.426,      44.323
16/10/1973 00:00,      44.669,      41.351,      39.226
17/10/1973 00:00,      56.022,      42.943,      40.582
18/10/1973 00:00,    2965.956,     453.016,      56.022
19/10/1973 00:00,    3211.574,    1074.658,     354.845
20/10/1973 00:00,    2973.974,    1905.832,     377.024
21/10/1973 00:00,    1010.776,     561.886,     342.265
22/10/1973 00:00,     349.142,     274.868,     213.421
23/10/1973 00:00,     213.421,     177.183,     148.592
24/10/1973 00:00,     148.592,     126.322,     109.000
25/10/1973 00:00,     112.234,     101.960,      92.849
26/10/1973 00:00,      92.849,      85.065,      81.368
27/10/1973 00:00,      81.368,      78.931,      76.551
28/10/1973 00:00,      76.551,      74.246,      71.972
29/10/1973 00:00,      71.972,      69.732,      67.493
30/10/1973 00:00,      67.493,      65.347,      63.249
31/10/1973 00:00,      63.249,      61.210,      59.202
01/11/1973 00:00,      59.202,      57.249,      55.327
02/11/1973 00:00,      55.327,      53.765,      52.655
03/11/1973 00:00,      52.655,      50.908,      50.026
04/11/1973 00:00,      55.987,      54.747,      52.231
05/11/1973 00:00,      53.285,      52.086,      51.329
06/11/1973 00:00,      51.329,      49.547,      48.666
07/11/1973 00:00,      48.666,      46.103,      44.975
08/11/1973 00:00,      44.975,      41.349,      39.226
09/11/1973 00:00,      39.398,      35.308,      32.832
10/11/1973 00:00,      39.753,      33.704,      32.141
11/11/1973 00:00,      39.830,      33.806,      31.536
12/11/1973 00:00,      76.810,      51.382,      32.409
13/11/1973 00:00,     231.984,     112.430,      67.824
14/11/1973 00:00,     212.285,     109.297,      53.654
15/11/1973 00:00,     173.923,      70.934,      40.781
16/11/1973 00:00,      59.568,      38.015,      32.659
17/11/1973 00:00,      32.832,      29.409,      27.216
18/11/1973 00:00,      27.426,      25.441,      22.527
19/11/1973 00:00,      22.527,      21.839,      20.822
20/11/1973 00:00,      22.464,      21.009,      18.434
21/11/1973 00:00,      20.736,      19.341,      17.539
22/11/1973 00:00,      19.222,      18.055,      17.280
23/11/1973 00:00,      19.613,      18.258,      17.453
24/11/1973 00:00,      18.255,      16.337,      14.672
25/11/1973 00:00,      14.774,      14.382,      13.910
26/11/1973 00:00,      14.774,      14.287,      13.910
27/11/1973 00:00,      23.008,      15.651,      13.651
28/11/1973 00:00,      52.704,      41.890,      23.008
29/11/1973 00:00,      65.491,      56.881,      46.502
30/11/1973 00:00,      46.502,      35.393,      29.079
01/12/1973 00:00,      29.079,      24.860,      20.584
02/12/1973 00:00,      98.885,      34.744,      20.390
03/12/1973 00:00,     107.222,      72.811,      55.814
04/12/1973 00:00,      61.026,      47.558,      37.857
05/12/1973 00:00,      37.857,      30.954,      26.266
06/12/1973 00:00,      26.266,      24.771,      22.427
07/12/1973 00:00,      22.427,      20.633,      18.911
08/12/1973 00:00,      18.911,      17.418,      16.066
09/12/1973 00:00,      16.066,      14.972,      13.987
10/12/1973 00:00,      13.987,      13.128,      12.340
11/12/1973 00:00,      12.340,      11.341,      10.240
12/12/1973 00:00,      10.240,       8.772,       6.993
13/12/1973 00:00,       6.993,       5.641,       4.701
14/12/1973 00:00,       4.701,       4.341,       4.067
15/12/1973 00:00,       4.067,       3.709,       3.252
16/12/1973 00:00,       3.252,       3.037,       2.938
17/12/1973 00:00,       7.793,       5.198,       2.938
18/12/1973 00:00,       8.813,       8.502,       7.793
19/12/1973 00:00,       8.381,       7.755,       6.697
20/12/1973 00:00,       6.697,       5.648,       4.955
21/12/1973 00:00,       4.955,       4.547,       4.083
22/12/1973 00:00,       4.083,       3.366,       3.110
23/12/1973 00:00,       9.850,       7.965,       3.255
24/12/1973 00:00,       9.533,       8.991,       8.294
25/12/1973 00:00,       8.294,       7.118,       6.082
26/12/1973 00:00,       6.082,       5.303,       4.728
27/12/1973 00:00,       4.728,       4.260,       3.779
28/12/1973 00:00,       3.779,       3.611,       3.542
29/12/1973 00:00,       4.579,       4.028,       3.542
30/12/1973 00:00,      40.214,      18.081,       3.974
31/12/1973 00:00,      40.694,      28.400,      17.384
01/01/1974 00:00,      17.384,      13.873,      11.654
02/01/1974 00:00,      11.654,      10.989,      10.245
03/01/1974 00:00,      10.245,       8.882,       7.644
04/01/1974 00:00,       7.644,       6.688,       5.852
05/01/1974 00:00,       5.852,       5.007,       4.252
06/01/1974 00:00,       4.252,       3.694,       3.165
07/01/1974 00:00,       3.165,       2.667,       2.170
08/01/1974 00:00,       2.170,       1.837,       1.596
09/01/1974 00:00,       1.596,       1.409,       1.222
10/01/1974 00:00,       1.222,       1.094,       0.969
11/01/1974 00:00,       0.969,       0.886,       0.864
12/01/1974 00:00,       0.864,       0.818,       0.778
13/01/1974 00:00,       1.469,       1.020,       0.778
14/01/1974 00:00,      12.650,       2.520,       1.037
15/01/1974 00:00,      12.787,      10.901,       9.205
