"Time","A5040578","A5040578","A5040578"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
03/05/1996 00:00,"","",""
04/05/1996 00:00,       1.555,       0.842,       0.605
05/05/1996 00:00,       1.901,       0.958,       0.605
06/05/1996 00:00,       1.814,       0.973,       0.605
07/05/1996 00:00,       1.469,       0.899,       0.518
08/05/1996 00:00,       1.814,       0.913,       0.605
09/05/1996 00:00,       2.074,       1.114,       0.691
10/05/1996 00:00,       2.333,       1.336,       0.864
11/05/1996 00:00,      64.541,       4.781,       0.778
12/05/1996 00:00,      39.744,       3.878,       0.864
13/05/1996 00:00,       1.728,       1.010,       0.691
14/05/1996 00:00,       2.160,       1.090,       0.605
15/05/1996 00:00,       1.987,       1.104,       0.778
16/05/1996 00:00,       1.901,       0.986,       0.605
17/05/1996 00:00,       2.074,       1.096,       0.691
18/05/1996 00:00,       1.901,       1.039,       0.605
19/05/1996 00:00,      31.104,       1.955,       0.691
20/05/1996 00:00,       1.901,       1.081,       0.691
21/05/1996 00:00,       1.814,       1.016,       0.605
22/05/1996 00:00,      96.595,       5.648,       0.605
23/05/1996 00:00,      13.478,       1.801,       0.778
24/05/1996 00:00,       1.814,       1.043,       0.691
25/05/1996 00:00,       1.642,       0.981,       0.691
26/05/1996 00:00,       1.728,       1.035,       0.691
27/05/1996 00:00,       1.901,       1.065,       0.778
28/05/1996 00:00,       2.160,       1.234,       0.691
29/05/1996 00:00,       2.074,       1.135,       0.605
30/05/1996 00:00,       2.074,       1.278,       0.778
31/05/1996 00:00,       2.678,       1.432,       0.950
01/06/1996 00:00,     328.838,      35.238,       0.691
02/06/1996 00:00,       1.555,       0.878,       0.518
03/06/1996 00:00,     159.581,      16.909,       0.778
04/06/1996 00:00,       1.702,       0.964,       0.691
05/06/1996 00:00,       1.555,       0.891,       0.605
06/06/1996 00:00,     451.786,      33.898,       0.864
07/06/1996 00:00,       5.357,       1.636,       0.691
08/06/1996 00:00,       2.160,       1.020,       0.605
09/06/1996 00:00,       1.728,       0.872,       0.518
10/06/1996 00:00,       1.555,       0.888,       0.605
11/06/1996 00:00,       1.555,       0.980,       0.691
12/06/1996 00:00,       1.642,       0.944,       0.259
13/06/1996 00:00,       1.382,       0.882,       0.605
14/06/1996 00:00,       2.074,       0.908,       0.605
15/06/1996 00:00,       1.555,       0.813,       0.605
16/06/1996 00:00,       1.987,       0.892,       0.518
17/06/1996 00:00,     284.083,      27.808,       0.778
18/06/1996 00:00,     116.709,      10.088,       0.950
19/06/1996 00:00,      84.845,       8.833,       0.778
20/06/1996 00:00,       1.555,       0.794,       0.605
