Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2019 14:23:00,26/05/2020 14:36:00,74.000
WQ_OGM_DOC,02/01/2019 14:23:00,26/05/2020 14:36:00,74.000
WQ_OXY_OXY,02/01/2019 14:23:00,26/05/2020 14:36:00,74.000
WQ_NIT_NIT,02/01/2019 14:23:00,19/05/2020 04:59:00,56.000
WQ_PHS_FRP,02/01/2019 14:23:00,19/05/2020 04:59:00,56.000
WQ_DIAG_TOT_TP,02/01/2019 14:23:00,19/05/2020 04:59:00,56.000
WQ_SIL_RSI,02/01/2019 14:23:00,05/05/2020 14:56:00,19.000
WQ_DIAG_TOT_TKN,02/01/2019 14:23:00,19/05/2020 04:59:00,56.000
TEMP,02/01/2019 14:23:00,26/05/2020 14:36:00,74.000
WQ_DIAG_TOT_TDS,02/01/2019 14:23:00,26/05/2020 14:36:00,74.000
WQ_DIAG_TOT_TURBIDITY,02/01/2019 14:23:00,26/05/2020 14:36:00,74.000
WQ_CAR_PH,02/01/2019 14:23:00,26/05/2020 14:36:00,74.000
